# Security Framework Change Dataset
# Version: 2026.07.17
# As of: 2026-07-15
# License: CC BY 4.0, https://creativecommons.org/licenses/by/4.0/
# Citation: Vorp Labs, Security Framework Change Tracker (data through 2026-07-15), https://vorplabs.com/security-framework-changes
# Source: https://vorplabs.com/security-framework-changes
# Releases and checksums: https://vorplabs.com/datasets/security-framework-changes/manifest.json
id,record_type,framework_slug,framework,title_or_artifact,date,date_status,milestone_type,current_version,prior_version,structure_facts,what_changed,questionnaire_impact,member_gated,source_urls,notes,url
ver-ccm-v41,version-record,csa-caiq,CSA Cloud Controls Matrix (CCM),CSA Cloud Controls Matrix (CCM),2026-01-27,effective,version-release,v4.1,v4.0.x,207 controls across 17 security domains,,,false,https://cloudsecurityalliance.org/artifacts/cloud-controls-matrix-v4-1,v4.0.x accepted by STAR through December 2027; withdrawn January 2028.,https://vorplabs.com/security-framework-changes/csa-caiq#ver-ccm-v41
ver-caiq-v41,version-record,csa-caiq,CSA Consensus Assessment Initiative Questionnaire (CAIQ),CSA Consensus Assessment Initiative Questionnaire (CAIQ),2026-01-27,effective,version-release,v4.1,v4.0.x,283 questions aligned to CCM v4.1,,,false,https://cloudsecurityalliance.org/blog/2026/02/19/ccm-v4-1-transition-timeline,CSA does not publicly state the v4.0.x question count on the transition pages; we do not repeat unverified counts.,https://vorplabs.com/security-framework-changes/csa-caiq#ver-caiq-v41
ver-aicm-v11,version-record,csa-caiq,CSA AI Controls Matrix (AICM) with AI-CAIQ,CSA AI Controls Matrix (AICM) with AI-CAIQ,2026-06-22,effective,version-release,v1.1,v1.0 (243 control objectives),247 control objectives across 18 security domains; includes AI-CAIQ,,,false,https://cloudsecurityalliance.org/artifacts/ai-controls-matrix-v1-1; https://cloudsecurityalliance.org/artifacts/ai-controls-matrix,STAR for AI Level 1 self-assessment documented; further levels described as upcoming.,https://vorplabs.com/security-framework-changes/csa-caiq#ver-aicm-v11
ver-hecvat-416,version-record,hecvat,"HECVAT (EDUCAUSE, Internet2, REN-ISAC)","HECVAT (EDUCAUSE, Internet2, REN-ISAC)",2026-07-15,verified-as-of,version-release,4.1.6,4.x point releases (see official Issue Tracker),HECVAT 4 generation; adds privacy and AI questions relative to HECVAT 3.x,,,false,https://www.educause.edu/higher-education-community-vendor-assessment-toolkit; https://docs.google.com/spreadsheets/d/1VHMZtfDiCV9gMeNKkHcuUThwW2L3Oxk5lquPuBwgkHY/edit,"Date reflects our latest page verification, not the 4.1.6 release date; per-release dates live in the Issue Tracker. Workbook content is copyrighted; version metadata only.",https://vorplabs.com/security-framework-changes/hecvat#ver-hecvat-416
ver-sig-2026,version-record,sig,Shared Assessments SIG,Shared Assessments SIG,2025-09-19,effective,version-release,SIG 2026,SIG 2025,Annual content release cycle; licensed question content and current-cycle counts are not republished here.,,,true,https://sharedassessments.org/blog/2026-sig-workbook-updates; https://sharedassessments.org/sig-faq/,September 19 was the officially announced release date. The current product cycle and annual cadence are corroborated by Shared Assessments' public pages.,https://vorplabs.com/security-framework-changes#ver-sig-2026
cmmc-2024-12-program-rule-effective,milestone,cmmc,CMMC,32 CFR Part 170 CMMC program rule effective,2024-12-16,effective,deadline,,,,"The CMMC program rule took effect, defining levels, assessments, and the four-phase plan.",Defense-supplier questionnaires began referencing CMMC levels as a certifiable status rather than an aspiration.,false,https://www.federalregister.gov/documents/2024/10/15/2024-22905/cybersecurity-maturity-model-certification-cmmc-program,89 FR 83092.,https://vorplabs.com/security-framework-changes#cmmc-2024-12-program-rule-effective
cmmc-2025-11-phase1-start,milestone,cmmc,CMMC,"Phase 1 begins, self-assessments in new solicitations",2025-11-10,effective,phase,,,,"The 48 CFR acquisition rule took effect, starting Phase 1: Level 1 and Level 2 self-assessment requirements enter applicable solicitations.",Primes began asking subcontractors for SPRS scores and self-assessment affirmations in vendor questionnaires.,false,https://www.federalregister.gov/documents/2025/09/10/2025-17359/,90 FR 43560. Phase 1 remains active as of July 2026.,https://vorplabs.com/security-framework-changes#cmmc-2025-11-phase1-start
cmmc-2026-11-phase2-scheduled,milestone,cmmc,CMMC,Phase 2 scheduled start (superseded by the July 2026 suspension),2026-11-10,superseded,phase,,,,"Phase 2, C3PAO third-party assessments for Level 2, was scheduled to begin one calendar year after Phase 1.","This is the date most vendor content still cites; it no longer stands. See the July 13, 2026 suspension.",false,https://www.federalregister.gov/documents/2024/10/15/2024-22905/cybersecurity-maturity-model-certification-cmmc-program; https://www.war.gov/News/Releases/Release/Article/4542329/forging-the-arsenal-of-freedom-department-of-war-suspends-cmmc-phase-ii-require/,Kept as a superseded record so the change history stays visible.,https://vorplabs.com/security-framework-changes#cmmc-2026-11-phase2-scheduled
cmmc-2026-07-phase2-suspended,milestone,cmmc,CMMC,Phase 2 and later milestones suspended; 60-day program review begins,2026-07-13,effective,status-change,,,,"The Department of War suspended Phase II requirements and pending and future CMMC implementation milestones, effective immediately, while keeping Phase I self-assessment requirements in place. A 60-day study and a CMMC Reform Task Force were announced, with a public request for information.","Answer libraries citing a November 2026 C3PAO deadline need updating: third-party assessment timing is now unscheduled, while Phase 1 self-assessment attestations still apply.",false,https://www.war.gov/News/Releases/Release/Article/4542329/forging-the-arsenal-of-freedom-department-of-war-suspends-cmmc-phase-ii-require/; https://dowcio.war.gov/CMMC/,"Administrative action; 32 CFR Part 170 text is unchanged and no Federal Register document had been published as of July 15, 2026.",https://vorplabs.com/security-framework-changes#cmmc-2026-07-phase2-suspended
cmmc-2026-09-review-window,milestone,cmmc,CMMC,60-day CMMC review window closes (approximate),2026-09-11,watch,watch,,,,"The announced 60-day study of the CMMC program, counted from July 13, 2026, reaches its window; outcomes may restore, restructure, or replace the suspended phases.","Watch for a reinstated or redesigned assessment schedule; until then, treat Phase 2 timing as unscheduled.",false,https://www.war.gov/News/Releases/Release/Article/4542329/forging-the-arsenal-of-freedom-department-of-war-suspends-cmmc-phase-ii-require/,Approximate date derived from the announced 60-day study period.,https://vorplabs.com/security-framework-changes#cmmc-2026-09-review-window
