# US AI Law Change Dataset
# Version: 2026.07.17
# As of: 2026-07-12
# License: CC BY 4.0, https://creativecommons.org/licenses/by/4.0/
# Citation: Vorp Labs, US AI Law Change Dataset (data through 2026-07-12), https://vorplabs.com/ai-regulatory-updates/us-ai-law-change-dataset
# Source: https://vorplabs.com/ai-regulatory-updates/us-ai-law-change-dataset
# Releases and checksums: https://vorplabs.com/datasets/us-ai-law-changes/manifest.json
id,jurisdiction,instrument,event_date,event_type,legal_status,effective_or_response_date,enactment_effective_date,principal_duty_date,covered_actors,obligation_families,summary,primary_source_url,uncertainty,related_path,url
US-CO-2026-SB0189-SIGNED,Colorado,"SB 26-189, Automated Decision-Making Technology",2026-05-14,enacted-law,"Enacted; effective on signing, with principal developer and deployer duties beginning January 1, 2027.",2027-01-01,2026-05-14,2027-01-01,Developers and deployers of automated decision-making technology used in consequential decisions.,documentation; consumer notice; adverse-decision explanation; access and correction; human review; record retention,"Repealed and reenacted Colorado's general AI framework around covered automated decision-making technology, replacing the former June 30, 2026 implementation path with January 1, 2027 duties.",https://leg.colorado.gov/bills/SB26-189,Included as a pre-window baseline because it superseded the Colorado framework that otherwise would have become operative during this reporting period; attorney general rules remain forthcoming.,/ai-regulatory-updates/united-states/colorado,https://vorplabs.com/ai-regulatory-updates/us-ai-law-change-dataset#US-CO-2026-SB0189-SIGNED
US-CO-2026-HB1139-SIGNED,Colorado,"HB 26-1139, Use of Artificial Intelligence in Health Care",2026-06-02,enacted-law,"Enacted; applies to covered actions on or after January 1, 2027.",2027-01-01,,,"Covered health insurers, pharmacy benefit managers, utilization-review organizations, managed-care entities, public health payers, and health professionals.",utilization review; human oversight; nondiscrimination; accuracy and reliability review; regulatory disclosure,"Requires individualized clinical factors in AI-assisted utilization review, licensed-clinician review of denials, periodic accuracy and reliability review, and regulatory disclosures; it also restricts direct AI delivery of psychotherapy.",https://leg.colorado.gov/bills/HB26-1139,The official bill page supports the signing and 2027 dates; implementation details may be refined by agency action.,/ai-regulatory-updates/united-states/colorado,https://vorplabs.com/ai-regulatory-updates/us-ai-law-change-dataset#US-CO-2026-HB1139-SIGNED
US-FED-2026-EO14409-ISSUED,"United States, federal","Executive Order 14409, Promoting Advanced Artificial Intelligence Innovation and Security",2026-06-02,executive-action,Executive action in force; primarily directs federal departments and agencies.,2026-08-01,,,"Named federal agencies and voluntary participants in cybersecurity, critical-infrastructure, or frontier-model programs.",AI cybersecurity; federal deployment; vulnerability coordination; voluntary frontier-model access; workforce,"Directs AI-enabled cyber-defense work, an AI cybersecurity clearinghouse, classified benchmarking, workforce measures, and a voluntary pre-release-access framework for covered frontier models; the order disclaims mandatory AI licensing or preclearance.",https://www.whitehouse.gov/presidential-actions/2026/06/promoting-advanced-artificial-intelligence-innovation-and-security/,"Some implementation products may be classified or nonpublic, and this record does not assume every 30- or 60-day deliverable has been publicly released.",,https://vorplabs.com/ai-regulatory-updates/us-ai-law-change-dataset#US-FED-2026-EO14409-ISSUED
US-FED-2026-NSPM11-ISSUED,"United States, federal","NSPM-11, Artificial Intelligence in the National Security Enterprise",2026-06-05,executive-action,National-security presidential memorandum in force for the national-security enterprise.,2026-09-03,,,"National-security departments, Intelligence Community elements, contractors, and AI suppliers to those organizations.",national-security adoption; assurance; procurement; testing; civil liberties; supplier accountability,"Establishes adoption, adaptation, assurance, and accountability pillars for national-security AI while preserving command responsibility and directing policy and procurement follow-through.",https://www.whitehouse.gov/presidential-actions/2026/06/national-security-presidential-memorandum-nspm-11/,"Several deliverables are classified or fall after August 31, 2026, so public implementation cannot be assessed from this event record.",,https://vorplabs.com/ai-regulatory-updates/us-ai-law-change-dataset#US-FED-2026-NSPM11-ISSUED
US-RI-2026-H7349A-ENACTED,Rhode Island,"H 7349 Substitute A, Oversight of Artificial Intelligence Technology in Mental Health Care Act",2026-06-22,enacted-law,Enacted and effective upon passage.,2026-06-22,,,"Licensed mental-health professionals, providers, and entities offering therapy or psychotherapy in Rhode Island.",informed consent; professional licensure; human responsibility; clinical-use limits; confidentiality,"Requires disclosure and affirmative consent for specified AI use in recorded or transcribed therapy, retains clinician responsibility, and bars an AI system from independently making therapeutic decisions or treatment plans.",https://webserver.rilegislature.gov/BillText26/HouseText26/H7349A.htm,"The official final bill text is available, but Rhode Island labels online public-law versions preliminary pending proofreading; refresh the chapter citation after final codification.",,https://vorplabs.com/ai-regulatory-updates/us-ai-law-change-dataset#US-RI-2026-H7349A-ENACTED
US-RI-2026-H7350AAA-ENACTED,Rhode Island,"H 7350 Substitute A as amended, Artificial Intelligence Companion Models",2026-06-22,enacted-law,"Enacted with a January 1, 2027 effective date.",2027-01-01,,,Operators providing covered AI companion services to Rhode Island users.,crisis protocol; recurring bot disclosure; consumer protection; civil remedies; attorney general enforcement,"Requires protocols for identified self-harm, harm-to-others, and specified financial-harm situations, plus recurring notice that the companion is a computer program rather than a human.",https://webserver.rilegislature.gov/BillText/BillText26/HouseText26/H7350Aaa.pdf,Reconcile the final public-law chapter number and paired House/Senate text when Rhode Island completes proofreading and codification.,,https://vorplabs.com/ai-regulatory-updates/us-ai-law-change-dataset#US-RI-2026-H7350AAA-ENACTED
US-RI-2026-S2570A-ENACTED,Rhode Island,"S 2570 Substitute A, Use of Artificial Intelligence by Healthcare Providers Notification Act",2026-06-22,enacted-law,Enacted and effective upon passage.,2026-06-22,,,Licensed healthcare providers and facilities using AI to document in-person or telehealth visits.,patient notice; documentation accuracy; clinician review,Requires patient notice when AI documents a visit and requires the provider or facility to review the generated documentation for accuracy after the visit.,https://webserver.rilegislature.gov/Billtext/BillText26/SenateText26/S2570A.htm,Refresh the final chapter citation and codified placement when the edited public law is available.,,https://vorplabs.com/ai-regulatory-updates/us-ai-law-change-dataset#US-RI-2026-S2570A-ENACTED
US-FED-FTC-2026-P264200-PROPOSED,"United States, federal","FTC File No. P264200, Proposed Policy Statement Concerning the Suppression of Accuracy in Artificial Intelligence Systems",2026-07-01,proposed-policy,Proposed agency policy open for comment; not final and not independently binding.,2026-07-31,,,Companies marketing AI systems to consumers.,consumer representations; truthfulness and accuracy; disclosure; FTC Act Section 5 deception,"Proposes that undisclosed steering of AI outputs toward ideological objectives, contrary to reasonable expectations or marketing claims about accuracy and suitability, may be deceptive under Section 5.",https://www.ftc.gov/legal-library/browse/federal-trade-commissions-proposed-policy-statement-concerning-suppression-accuracy-artificial,The Commission may change or decline to finalize the proposal; its preemption discussion is an agency position rather than a judicial holding.,,https://vorplabs.com/ai-regulatory-updates/us-ai-law-change-dataset#US-FED-FTC-2026-P264200-PROPOSED
US-CA-2024-SB0942-OPERATIVE,California,"SB 942, California AI Transparency Act, as amended",2026-08-02,upcoming-operative-date,"Enacted; the initial covered-provider requirements become operative August 2, 2026.",2026-08-02,,,Covered providers of publicly available generative-AI systems meeting the statutory user or visitor threshold.,AI-content detection; manifest disclosure; latent provenance; licensing controls,"Requires covered providers to make a free detection tool available, offer a manifest disclosure option, embed specified latent disclosures where technically feasible and reasonable, and preserve disclosure capability in licensed systems.",https://leginfo.legislature.ca.gov/faces/codes_displayText.xhtml?chapter=25.&division=8.&lawCode=BPC,"Technical application depends on feasibility, reasonableness, and industry standards; later platform and device duties do not begin in August 2026.",/ai-regulatory-updates/california-ai-transparency-act-checklist,https://vorplabs.com/ai-regulatory-updates/us-ai-law-change-dataset#US-CA-2024-SB0942-OPERATIVE
US-CA-2025-AB0853-OPERATIVE,California,"AB 853, California AI Transparency Act amendments",2026-08-02,upcoming-operative-date,"Enacted; amended provider provisions become operative August 2, 2026, with additional phases in 2027 and 2028.",2026-08-02,,,"Covered generative-AI providers initially; hosting platforms, large online platforms, and capture-device manufacturers in later phases.",operative-date amendment; content provenance; platform obligations; device obligations,"Delayed the original operative date to August 2, 2026 and amended the provider regime; its additional platform and capture-device requirements begin in later years.",https://www.leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB853,Do not conflate 2027 hosting and platform duties or 2028 capture-device duties with the August 2026 provider obligations.,/ai-regulatory-updates/california-ai-transparency-act-checklist,https://vorplabs.com/ai-regulatory-updates/us-ai-law-change-dataset#US-CA-2025-AB0853-OPERATIVE
