# Frontier AI Safety Framework Comparison Dataset
# Version: 2026.07.17
# As of: 2026-07-12
# License: CC BY 4.0, https://creativecommons.org/licenses/by/4.0/
# Citation: Vorp Labs, Frontier AI Safety Framework Comparison Dataset (data through 2026-07-12), https://vorplabs.com/ai-regulatory-updates/frontier-ai-framework-comparison
# Source: https://vorplabs.com/ai-regulatory-updates/frontier-ai-framework-comparison
# Releases and checksums: https://vorplabs.com/datasets/frontier-framework-comparison/manifest.json
id,lab,framework,current_version,current_version_date,date_precision,threshold_model,risk_domains,external_review,update_cadence,public_change_history,release_evidence,sb53_posture,raise_posture,eu_code_posture,seoul_posture,comparison_caveat,source_urls,url
anthropic-rsp,Anthropic,Responsible Scaling Policy (RSP),v3.4,2026-07-08,day,Capability thresholds paired with safeguard outcomes; current policy also uses ASL-2 and ASL-3 for maintained protection levels.,"Chemical and biological weapons production (non-novel and novel thresholds); Misaligned AI systems in high-stakes settings; Automated R&D in key domains (AI, energy, robotics, weapons development)",Risk Report review can involve one or more external reviewers; v3.4 permits section-level division when all unredacted sections are covered.,Changes are proposed by the CEO and Responsible Scaling Officer and approved by the board in consultation with the Long-Term Benefit Trust; updated versions are published on or before their effective date with differences recorded in a change log.,"Nine dated versions through v3.4, with public redlines for recent updates.",Risk Reports and off-cycle model analyses are separate from the framework document; not every model release receives a new Risk Report.,Explicit. Anthropic publishes a separate SB 53 compliance page and the RSP states that statutory definitions are addressed in separate compliance frameworks.,No public statement found as of 2026-07-04.,Full signatory of the EU GPAI Code of Practice.,Signatory; framework published before the February 2025 deadline.,The RSP's post-v3.0 structure does not map cleanly to its earlier numbered AI Safety Level framing.,https://cdn.sanity.io/files/4zrzovbb/website/0bacdc8440ea96e62a8766d99ebe1d4eea6d5f3a.pdf; https://cdn.sanity.io/files/4zrzovbb/website/fbfdce5e4e825a3e089085205a842a9ae8ffac99.pdf; https://www.anthropic.com/responsible-scaling-policy; https://www.anthropic.com/news/compliance-framework-SB53,https://vorplabs.com/ai-regulatory-updates/frontier-ai-frameworks#anthropic-rsp
openai-frameworks,OpenAI,Frontier Governance Framework + Preparedness Framework,FGF (2026) / Preparedness Framework v2,2026-05-28,day,Frontier Governance Framework Tier 1/2/3 levels map in part to Preparedness Framework High and Critical thresholds.,"Cyber offense; Chemical, biological, radiological and nuclear (CBRN); Harmful manipulation (exploratory); Loss of control / AI self-improvement",The governance framework describes external expert input; the two-document structure must be checked for the exact procedure.,"OpenAI commits to a Framework Assessment at least once every 12 months from the effective dates of the California TFAIA and the EU Code of Practice, with material updates documented in a changelog and published within 30 days.",Preparedness Framework has two public major versions; the 2026 Frontier Governance Framework is unversioned on its face.,"Preparedness findings and system cards provide model-specific evidence, while the Frontier Governance Framework is the regulatory-facing document.","Explicit. The FGF states it is OpenAI's frontier AI framework under the TFAIA, with OpenAI OpCo LLC responsible for US compliance.",Not named in the FGF as of the 2026-05-28 edition.,"Full signatory. The FGF doubles as the public summary of OpenAI's Safety & Security Framework under the EU Code, with OpenAI Ireland Limited the responsible EU provider.",Signatory; framework published before the February 2025 deadline.,OpenAI uses two governing documents with different jobs; treating either as the complete framework loses material context.,https://cdn.openai.com/pdf/e37d949b-8c9f-4d76-b99e-4272f4631a7e/openai-frontier-governance-framework.pdf; https://cdn.openai.com/pdf/18a02b5d-6b67-4cec-ab64-68cdfbddebcd/preparedness-framework-v2.pdf; https://openai.com/index/openai-frontier-governance-framework/,https://vorplabs.com/ai-regulatory-updates/frontier-ai-frameworks#openai-frameworks
google-deepmind-fsf,Google DeepMind,Frontier Safety Framework (FSF),v3.1,2026-04-17,day,"Critical Capability Levels for severe risk plus Tracked Capability Levels for earlier, significant-but-less-severe signals.",CBRN uplift; Cyber uplift; Harmful manipulation (exploratory); ML R&D acceleration/automation and misalignment (including stealth and situational awareness),The framework describes holistic assessments and internal oversight; no universal independent-review requirement was verified for every evaluation.,"Reviewed at least once a year, and more frequently if DeepMind has reasonable grounds to believe the framework's adequacy or its adherence has been materially undermined.",Four dated versions from v1.0 through v3.1.,Gemini model cards describe FSF evaluations. The Gemini 3.1 Pro card reports Deep Think below every CCL while cyber crossed an earlier alert threshold.,"No explicit statement found as of 2026-07-04, despite Google plausibly meeting both statutory thresholds.",No public statement found as of 2026-07-04.,Full signatory (Google).,Signatory (Google); framework published before the February 2025 deadline.,TCLs and CCLs are not direct equivalents of another lab's safeguard or preparedness tiers.,https://deepmind.google/blog/strengthening-our-frontier-safety-framework/; https://storage.googleapis.com/deepmind-media/DeepMind.com/Blog/strengthening-our-frontier-safety-framework/frontier-safety-framework_3-1.pdf; https://deepmind.google/blog/introducing-the-frontier-safety-framework/,https://vorplabs.com/ai-regulatory-updates/frontier-ai-frameworks#google-deepmind-fsf
meta-frontier-framework,Meta,Frontier AI Framework (Advanced AI Scaling Framework v2),v2,2026-04-20,day,Outcome-based thresholds for cyber and chemical/biological risk in the original framework; v2 detail remains only partially extracted.,Cyber offense; Chemical and biological weapons,No uniform external-review commitment was verified from the currently extracted record.,No published update-cadence commitment located in the page text as of 2026-07-04.,Two known editions; the second is retitled Advanced AI Scaling Framework and has date ambiguity between the host page and policy index.,No normalized release-by-release framework evidence was verified for this comparison release.,"No public statement found as of 2026-07-04, despite Meta plausibly meeting both statutory thresholds.",No public statement found as of 2026-07-04.,Not a signatory. Meta publicly declined to sign the EU GPAI Code of Practice.,Signatory; framework published before the February 2025 deadline.,"The v2 PDF link is difficult to retrieve automatically, so current threshold comparisons remain incomplete.",https://about.fb.com/news/2025/02/meta-approach-frontier-ai/; https://metr.org/fsp,https://vorplabs.com/ai-regulatory-updates/frontier-ai-frameworks#meta-frontier-framework
microsoft-fgf,Microsoft,Frontier Governance Framework,February 2026 edition,2026-02,month,High-risk capability categories and governance processes; the February 2026 edition adds harmful manipulation and loss of control.,CBRN weapons; Offensive cyberoperations; Advanced autonomy including AI R&D; Harmful manipulation (added February 2026); Loss of control (added February 2026),"External input is part of the governance structure, but this dataset does not claim an independent review for every covered model.","The February 2026 edition adjusts the update cadence to align with regulatory obligations; the 2025 original committed to an explicit improvement discussion every six months, with updates reviewed by Microsoft's Chief Responsible AI Officer.",Initial February 2025 version plus a February 2026 edition with a named change log.,The framework is governance-focused; model-specific evidence must be checked in separate Microsoft release materials.,Named. The February 2026 change log cites the CA Transparency in Frontier AI Act as a driver of the update; no explicit covered-developer statement located.,"Named. The February 2026 change log cites the NY RAISE Act as a driver of the update, the only tracked framework naming RAISE as of 2026-07-04.",Full signatory; the February 2026 update cites the finalized Code.,Signatory; framework published before the February 2025 deadline.,Month-only publication precision prevents an exact February 2026 update date.,https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/msc/documents/presentations/CSR/Frontier-Governance-Framework-Feb-2026.pdf; https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/final/en-us/microsoft-brand/documents/Microsoft-Frontier-Governance-Framework.pdf,https://vorplabs.com/ai-regulatory-updates/frontier-ai-frameworks#microsoft-fgf
xai-faif,xAI,Frontier Artificial Intelligence Framework (FAIF),December 2025 edition,2025-12-30,day,See the source framework; normalized threshold detail is not yet complete.,"Biological and chemical weapons; Radiological and nuclear weapons; Cyber attacks on critical infrastructure; Loss of control (deception, sycophancy, misalignment); Operational and societal risks",Not verified for this comparison release.,"The FAIF states it will be continually adapted and updated as circumstances change, before major new capability launches, and in response to incidents.",Limited or not verified for this comparison release.,Not verified for this comparison release.,"Explicit. The FAIF states it complies with California's Transparency in Frontier Artificial Intelligence Act, citing Business and Professions Code sections 22757.10 et seq., and includes an AB-2013 training-data disclosure.",No public statement found as of 2026-07-04.,Partial signatory: Safety and Security chapter only.,"Signatory; no February 2025 framework artifact was located, making on-time Seoul delivery unconfirmed.",This row preserves the tracker record without inferring missing comparison fields.,https://data.x.ai/2025-12-31-xai-frontier-artificial-intelligence-framework.pdf; https://data.x.ai/2025-08-20-xai-risk-management-framework.pdf,https://vorplabs.com/ai-regulatory-updates/frontier-ai-frameworks#xai-faif
amazon-fmsf,Amazon,Frontier Model Safety Framework,Unversioned,2025-02,month,See the source framework; normalized threshold detail is not yet complete.,CBRN weapons proliferation; Offensive cyber operations; Automated AI R&D,Not verified for this comparison release.,"Described as a living document, revisited at least annually and updated in connection with significant technological developments.",Limited or not verified for this comparison release.,Not verified for this comparison release.,"No public statement found as of 2026-07-04, despite Amazon plausibly meeting both statutory thresholds.",No public statement found as of 2026-07-04.,Full signatory.,Signatory; framework published around the February 2025 deadline.,This row preserves the tracker record without inferring missing comparison fields.,https://www.amazon.science/publications/amazons-frontier-model-safety-framework; https://assets.amazon.science/a7/7c/8bdade5c4eda9168f3dee6434fff/pc-amazon-frontier-model-safety-framework-2-7-final-2-9.pdf,https://vorplabs.com/ai-regulatory-updates/frontier-ai-frameworks#amazon-fmsf
cohere-framework,Cohere,Secure AI Frontier Model Framework,V1.0,2025-02,month,See the source framework; normalized threshold detail is not yet complete.,"Enterprise harm categories including discriminatory outcomes, insecure code, CSAM, malware, prompt injection, sensitive information disclosure, and adversarial attacks",Not verified for this comparison release.,States it is the first published version and will be updated as best practices develop; no cadence commitment.,Limited or not verified for this comparison release.,Not verified for this comparison release.,No public statement found as of 2026-07-04; whether Cohere meets the statutory thresholds is unverified.,No public statement found as of 2026-07-04.,Full signatory.,Signatory; framework published around the February 2025 deadline.,This row preserves the tracker record without inferring missing comparison fields.,https://cohere.com/security/the-cohere-secure-ai-frontier-model-framework-february-2025.pdf; https://cohere.com/blog/secure-model-framework,https://vorplabs.com/ai-regulatory-updates/frontier-ai-frameworks#cohere-framework
nvidia-frontier-risk,NVIDIA,Frontier AI Risk Assessment,Unversioned,2025-08,month,See the source framework; normalized threshold detail is not yet complete.,Cyber offence; CBRN risks; Persuasion and manipulation; At-scale discrimination,Not verified for this comparison release.,"Commits to regular review and updates reflecting new findings, emerging threats, and industry advancements; no fixed cadence.",Limited or not verified for this comparison release.,Not verified for this comparison release.,"No statement located; NVIDIA's own materials position it outside frontier-model development, which would keep it outside SB 53 developer duties.",No public statement found as of 2026-07-04.,Not a signatory.,Added as a signatory after the original sixteen; its assessment document postdates the February 2025 framework deadline.,This row preserves the tracker record without inferring missing comparison fields.,https://images.nvidia.com/content/pdf/NVIDIA-Frontier-AI-Risk-Assessment.pdf,https://vorplabs.com/ai-regulatory-updates/frontier-ai-frameworks#nvidia-frontier-risk
magic-agi-readiness,Magic,AGI Readiness Policy,v1.0,2024-07-02,day,See the source framework; normalized threshold detail is not yet complete.,Frontier AI readiness commitments,Not verified for this comparison release.,Not yet extracted as of 2026-07-04.,Limited or not verified for this comparison release.,Not verified for this comparison release.,No public statement found; threshold coverage unverified.,No public statement found as of 2026-07-04.,Not a signatory.,Added as a signatory after the original sixteen; policy predates the France summit deadline.,This row preserves the tracker record without inferring missing comparison fields.,https://magic.dev/agi-readiness-policy; https://metr.org/fsp,https://vorplabs.com/ai-regulatory-updates/frontier-ai-frameworks#magic-agi-readiness
