# AI Insurance Exclusions Evidence Ledger
# Version: 2026.07.22
# As of: 2026-07-22
# License: CC BY 4.0, https://creativecommons.org/licenses/by/4.0/
# Citation: Vorp Labs, AI Insurance Exclusions Evidence Ledger (as of 2026-07-22), https://vorplabs.com/ai-insurance-exclusions
# Source: https://vorplabs.com/ai-insurance-exclusions
# Releases and checksums: https://vorplabs.com/datasets/ai-insurance-exclusions/manifest.json
instrument_id,organization,form_or_instrument_name,form_number,form_edition,coverage_direction,line_of_business,ai_scope,effect_summary,date_value,date_type,status,source_url,source_title,source_type,host_is_official,verification,publication_eligibility,last_checked,notes,url
cg-40-48,Insurance Services Office (ISO) / Verisk,"Exclusion, Generative Artificial Intelligence (Coverage B Only)",CG 40 48 01 26,2026-01,exclusion,commercial general liability,generative-ai,"Modifies the Commercial General Liability Coverage Part by adding an exclusion to Section I, Coverage B (Personal And Advertising Injury Liability) for injury arising out of generative artificial intelligence. Coverage A is not modified by this form.",2026-01,edition,form-observed,https://assets.alm.com/63/68/46ed4bf34a0e807c9695e15c9e19/cg-40-48-01-26-exclusion-generative-artificial-intelligence-coverage-b-only.pdf,CG 40 48 01 26 form text (third-party hosted PDF),primary-form,false,verified,main-ledger,2026-07-22,"The form's generative artificial intelligence definition is comparatively narrow, reaching machine-based learning systems or models that create content or responses; the controlling language is in the linked form text. The form text carries an Insurance Services Office, Inc., 2025 copyright notice. Hosted by ALM, not Verisk.",https://vorplabs.com/ai-insurance-exclusions#cg-40-48
cg-35-08,Insurance Services Office (ISO) / Verisk,"Exclusion, Generative Artificial Intelligence",CG 35 08 01 26,2026-01,exclusion,products/completed operations liability,generative-ai,Modifies the Products/Completed Operations Liability Coverage Part by adding an exclusion for bodily injury or property damage arising out of generative artificial intelligence.,2026-01,edition,form-observed,https://assets.alm.com/3f/6f/918870894682a2e4a733bb0229fd/cg-35-08-01-26-exclusion-generative-artificial-intelligence.pdf,CG 35 08 01 26 form text (third-party hosted PDF),primary-form,false,verified,main-ledger,2026-07-22,"Uses the same generative artificial intelligence definition as CG 40 48 01 26 and the same Insurance Services Office, Inc., 2025 copyright notice. Hosted by ALM, not Verisk.",https://vorplabs.com/ai-insurance-exclusions#cg-35-08
berkley-pc-51380,Berkley Insurance Company,Artificial Intelligence Exclusion (Absolute),PC 51380 00 (06-24),2024-06,exclusion,directors and officers; employment practices; fiduciary liability,all-ai,"Absolute exclusion for loss on claims based upon, arising out of, or attributable to actual or alleged AI use, deployment, or development by any person or entity, listing AI-generated content, failure to detect third-party AI content, inadequate AI governance, AI-integrated products and services, chatbot representations, AI disclosures, violations of AI laws, and regulatory demands concerning AI risk.",2024-06,edition,form-observed,https://www.hunton.com/assets/htmldocuments/noindex/PC-51380-00-06-24-Artificial-Intelligence-Exclusion-Absolute.pdf,PC 51380 00 (06-24) form text (third-party hosted PDF),primary-form,false,verified,main-ledger,2026-07-22,"The form amends Berkley forms PC 51000 DO (02-18), PC 51000 EPL (02-18), and PC 51000 FLI (02-18). Its AI definition is broader than the ISO generative AI definition, reaching machine-based systems that infer how to generate outputs from the inputs they receive; the controlling language is in the linked form text. Hosted by Hunton Andrews Kurth, not Berkley.",https://vorplabs.com/ai-insurance-exclusions#berkley-pc-51380
cg-40-47,Insurance Services Office (ISO) / Verisk,"Exclusion, Generative Artificial Intelligence",CG 40 47 01 26,2026-01,exclusion,commercial general liability,generative-ai,Reported broad generative AI exclusion applying to both Coverage A (bodily injury and property damage) and Coverage B (personal and advertising injury) under the CGL policy.,2026-01,edition,form-reported,https://www.ajg.com/news-and-insights/iso-introduces-generative-ai-exclusion-in-commercial-general-liability-policies/,Gallagher: ISO introduces generative AI exclusion in CGL,broker-report,false,reported,watchlist,2026-07-22,"Two independent broker sources (Gallagher and the Aon AI fact sheet) describe the form consistently, but no primary form text has been fetched. Fetching the form text is the promotion condition for this record.",https://vorplabs.com/ai-insurance-exclusions#cg-40-47
hamilton-select-pl3026,Hamilton Select Insurance Inc.,Generative AI exclusion for professional liability,PL3026,2023-06,exclusion,professional liability,generative-ai,"Reported exclusion for claims, wrongful acts, damages, or defense costs based upon, arising out of, or in any way involving actual or alleged use of generative artificial intelligence by the insured.",,,form-reported,https://www.hunton.com/insights/publications/how-insurance-policies-are-adapting-to-ai-risk,Hunton: how insurance policies are adapting to AI risk,law-firm-alert,false,reported,watchlist,2026-07-22,The form number and edition come from the original research pass and were not re-confirmed from a live source on the checked date; the Hunton article text fetched that day quotes the exclusion wording without a form number. The Aon fact sheet separately corroborates the exclusion without citing a form number.,https://vorplabs.com/ai-insurance-exclusions#hamilton-select-pl3026
philadelphia-indemnity,Philadelphia Indemnity Insurance Company,Generative AI content exclusion,,,exclusion,professional liability; media liability,generative-ai,Reported exclusion affecting offenses in advertisements or in content created or posted for third parties using generative artificial intelligence in performance of the insured's services.,,,exclusion-reported,https://www.hunton.com/insights/publications/how-insurance-policies-are-adapting-to-ai-risk,Hunton: how insurance policies are adapting to AI risk,law-firm-alert,false,reported,watchlist,2026-07-22,Corroborated by the Aon fact sheet. Neither source discloses a form number.,https://vorplabs.com/ai-insurance-exclusions#philadelphia-indemnity
cincinnati,Cincinnati Insurance Company,Directors and officers AI exclusion,,,exclusion,directors and officers,all-ai,"Reported exclusion in directors and officers policies for the development, deployment, or use of AI.",,,exclusion-reported,https://assets.aon.com/-/media/files/aon/reports/2026/aon-ai-fact-sheet-2026.pdf,Aon AI fact sheet (2026),broker-report,false,reported,watchlist,2026-07-22,Single-source report; no form number disclosed.,https://vorplabs.com/ai-insurance-exclusions#cincinnati
chubb,Chubb,AI-related exclusion (regulatory approvals reported),,,exclusion,commercial liability lines (not specified),not-stated,"State regulators are reported to have approved AI-related exclusion requests; the scope, forms, and implementation state are not established from accessible sources.",,,approval-reported,https://www.theinformation.com/articles/berkshire-hathaway-chubb-win-approval-drop-ai-insurance-coverage,"The Information: Berkshire Hathaway, Chubb win approval to drop AI insurance coverage",trade-press,false,reported,watchlist,2026-07-22,"Single-source report behind a paywall; only the headline and byline were accessible on the checked date, so the underlying claims could not be re-verified.",https://vorplabs.com/ai-insurance-exclusions#chubb
berkshire-hathaway,Berkshire Hathaway insurance subsidiaries,AI-related exclusion (regulatory approvals reported),,,exclusion,commercial liability lines (not specified),not-stated,"State regulators are reported to have approved AI-related exclusion requests; the scope, forms, and implementation state are not established from accessible sources.",,,approval-reported,https://www.theinformation.com/articles/berkshire-hathaway-chubb-win-approval-drop-ai-insurance-coverage,"The Information: Berkshire Hathaway, Chubb win approval to drop AI insurance coverage",trade-press,false,reported,watchlist,2026-07-22,"Single-source report behind a paywall; only the headline and byline were accessible on the checked date, so the underlying claims could not be re-verified.",https://vorplabs.com/ai-insurance-exclusions#berkshire-hathaway
aig,AIG subsidiaries,ISO-template AI exclusion requests (reported),,,exclusion,commercial general liability (reported),not-stated,Subsidiaries are reported to have requested regulatory approval to attach ISO-template AI exclusions.,,,filing-reported,https://www.theinformation.com/articles/berkshire-hathaway-chubb-win-approval-drop-ai-insurance-coverage,"The Information: Berkshire Hathaway, Chubb win approval to drop AI insurance coverage",trade-press,false,reported,watchlist,2026-07-22,"Single-source report behind a paywall; only the headline and byline were accessible on the checked date, so the underlying claims could not be re-verified.",https://vorplabs.com/ai-insurance-exclusions#aig
