# AI Model Deprecation Tracker
# Version: 2026.07.17
# As of: 2026-07-15
# License: CC BY 4.0, https://creativecommons.org/licenses/by/4.0/
# Citation: Vorp Labs, AI Model Deprecation Tracker (as of 2026-07-15), https://vorplabs.com/models/deprecations
# Source: https://vorplabs.com/models/deprecations
# Releases and checksums: https://vorplabs.com/datasets/model-deprecations/manifest.json
record_type,anchor,provider,subject,announced,effective,effective_precision,action_or_policy,provider_guide,source_url,last_checked,url
deprecation,dep-2026-07-21-anthropic,Anthropic,claude-mythos-preview,,2026-07-21,day,Preview alias retires; move to claude-mythos-5 before the cutoff.,https://vorplabs.com/models/anthropic-claude-provider-operations,https://platform.claude.com/docs/en/about-claude/model-deprecations,2026-07-15,https://vorplabs.com/models/deprecations#dep-2026-07-21-anthropic
deprecation,dep-2026-06-15-anthropic,Anthropic,claude-sonnet-4-20250514 and claude-opus-4-20250514,2026-04-14,2026-06-15,day,Retired; Anthropic recommends claude-sonnet-4-6 and claude-opus-4-8 respectively.,https://vorplabs.com/models/anthropic-claude-provider-operations,https://platform.claude.com/docs/en/about-claude/model-deprecations,2026-07-15,https://vorplabs.com/models/deprecations#dep-2026-06-15-anthropic
deprecation,dep-2026-02-19-anthropic,Anthropic,claude-3-7-sonnet-20250219,2025-10-28,2026-02-19,day,Retired; Anthropic recommends claude-sonnet-4-6.,https://vorplabs.com/models/anthropic-claude-provider-operations,https://platform.claude.com/docs/en/about-claude/model-deprecations,2026-07-15,https://vorplabs.com/models/deprecations#dep-2026-02-19-anthropic
deprecation,dep-2026-04-20-anthropic,Anthropic,claude-3-haiku-20240307,2026-02-19,2026-04-20,day,Retired; Anthropic recommends claude-haiku-4-5-20251001.,https://vorplabs.com/models/anthropic-claude-provider-operations,https://platform.claude.com/docs/en/about-claude/model-deprecations,2026-07-15,https://vorplabs.com/models/deprecations#dep-2026-04-20-anthropic
deprecation,dep-2025-04-30-cohere,Cohere,rerank-english-v2.0 and rerank-multilingual-v2.0,2024-12-02,2025-04-30,day,Retired; Cohere recommends rerank-v3.5.,https://vorplabs.com/models/cohere-model-provider-operations,https://docs.cohere.com/docs/deprecations,2026-07-15,https://vorplabs.com/models/deprecations#dep-2025-04-30-cohere
deprecation,dep-2026-07-31-mistral-small-wave,Mistral,mistral-small-2506 and magistral-small-2509,,2026-07-31,day,"Deprecated April 30, 2026 in Mistral's legacy table; Mistral lists Mistral Small 4 as the alternative for both models.",https://vorplabs.com/models/mistral-model-provider-operations,https://docs.mistral.ai/models/overview,2026-07-15,https://vorplabs.com/models/deprecations#dep-2026-07-31-mistral-small-wave
deprecation,dep-2026-07-31-mistral-medium-wave,Mistral,"devstral-2512, magistral-medium-2509, and open-mistral-nemo-2407",,2026-07-31,day,"Deprecated May 22, 2026 in Mistral's legacy table; Mistral lists Mistral Medium 3.5 for devstral-2512 and magistral-medium-2509, and Ministral 3 8B for open-mistral-nemo-2407.",https://vorplabs.com/models/mistral-model-provider-operations,https://docs.mistral.ai/models/overview,2026-07-15,https://vorplabs.com/models/deprecations#dep-2026-07-31-mistral-medium-wave
deprecation,dep-2026-08-31-mistral,Mistral,mistral-medium-2508 and mistral-medium-2505,,2026-08-31,day,"Deprecated May 22, 2026 in Mistral's legacy table; Mistral lists Mistral Medium 3.5 as the alternative.",https://vorplabs.com/models/mistral-model-provider-operations,https://docs.mistral.ai/models/overview,2026-07-15,https://vorplabs.com/models/deprecations#dep-2026-08-31-mistral
deprecation,dep-2026-01-28-moonshot-kimi,Moonshot Kimi,kimi-latest,,2026-01-28,day,Discontinued per the official model list; migrate to kimi-k2.6.,https://vorplabs.com/models/kimi-moonshot-model-provider-operations,https://platform.kimi.ai/docs/models,2026-07-15,https://vorplabs.com/models/deprecations#dep-2026-01-28-moonshot-kimi
deprecation,dep-2025-11-15-z-ai-zhipu-glm-,Z.ai (Zhipu GLM),"GLM-Z1 series (Air, AirX, FlashX, Flash)",,2025-11-15,day,The official model overview lists this deprecation date and says deprecated models route automatically; it does not name a replacement for this series.,https://vorplabs.com/models/z-ai-glm-model-provider-operations,https://docs.bigmodel.cn/cn/guide/start/model-overview,2026-07-15,https://vorplabs.com/models/deprecations#dep-2025-11-15-z-ai-zhipu-glm-
deprecation,dep-2026-01-30-z-ai-zhipu-glm-,Z.ai (Zhipu GLM),GLM-4.5-Flash,,2026-01-30,day,The provider scheduled shutdown for this date with requests automatically routed to GLM-4.7-Flash; the source page still uses future-tense wording.,https://vorplabs.com/models/z-ai-glm-model-provider-operations,https://docs.bigmodel.cn/cn/guide/models/free/glm-4.5-flash,2026-07-15,https://vorplabs.com/models/deprecations#dep-2026-01-30-z-ai-zhipu-glm-
deprecation,dep-2026-07-09-elevenlabs,ElevenLabs,"eleven_monolingual_v1, eleven_multilingual_v1, and scribe_v1",2026-06-08,2026-07-09,day,"A June 2026 notice set this removal date for all three models; for the two TTS v1 models, it superseded the earlier 2025-12-15 date. Migrate to eleven_multilingual_v2 or the current Scribe models.",https://vorplabs.com/models/media-rights#elevenlabs-tts-api,https://elevenlabs.io/docs/changelog/2026/6/8,2026-07-15,https://vorplabs.com/models/deprecations#dep-2026-07-09-elevenlabs
