# Deepfake & AI Impersonation Law Tracker
# Version: 2026.07.10
# As of: 2026-07-10
# License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
# Citation: Vorp Labs, Deepfake & AI Impersonation Law Tracker (as of 2026-07-10), https://vorplabs.com/ai-regulatory-updates/deepfake-laws
# Source: https://vorplabs.com/ai-regulatory-updates/deepfake-laws
# Releases and checksums: https://vorplabs.com/datasets/deepfake-laws/manifest.json
anchor,level,jurisdiction,name,citation,kind_or_category,detail_level,status,status_detail,effective_date,effective_date_precision,key_dates,scope_or_obligations,penalties,enforcement_authority,private_right_of_action,litigation_status,source_urls,url
take-it-down-act,federal,United States (federal),TAKE IT DOWN Act,Pub. L. 119-12,statute,full,enacted,Signed 2025-04-28. Platform compliance deadline passed 2026-05-19. FTC stood up TakeItDown.ftc.gov as a reporting portal. No public FTC enforcement cases under the Act as of 2026-07-10.,,,Signed into law: 2025-04-28; Platform compliance deadline (365 days from enactment): 2026-05-19,Covered platforms must remove intimate images — including AI-generated synthetic intimate images — within 48 hours of a valid report. Platforms had until 2026-05-19 to stand up removal processes.,"FTC enforces under FTC Act Section 5. Civil penalties per 16 CFR 1.98 ($53,088 per violation as of the 2024 adjustment). Criminal penalties for knowing distribution of non-consensual intimate images, including deepfake images, with up to two years imprisonment.",FTC (civil); DOJ (criminal),,,https://www.govinfo.gov/content/pkg/PLAW-119publ12/summary; https://takeitdown.ftc.gov; https://www.ecfr.gov/current/title-16/part-1/section-1.98,https://vorplabs.com/ai-regulatory-updates/deepfake-laws#take-it-down-act
ftc-impersonation-rule,federal,United States (federal),Government and Business Impersonation Rule (16 CFR Part 461),16 CFR 461,rule,full,final-rule,Government and business impersonation provisions effective 2024-04-01. The proposed extension to individual impersonation (SNPRM) is not finalized as of 2026-07-10.,,,Final rule effective: 2024-04-01,Makes impersonation of government entities and businesses — including via AI-generated content — an unfair or deceptive act under the FTC Act. Enables the FTC to seek civil penalties and consumer redress.,Civil penalties under FTC Act Section 5(m)(1)(A); consumer redress under Section 19. The individual-impersonation extension was proposed as an SNPRM but has not been finalized.,FTC,,,https://www.ecfr.gov/current/title-16/part-461,https://vorplabs.com/ai-regulatory-updates/deepfake-laws#ftc-impersonation-rule
fcc-ai-voice-declaratory-ruling,federal,United States (federal),FCC Declaratory Ruling: AI-Generated Voices Under TCPA,FCC 24-17,declaratory-ruling,full,in-force,Declaratory ruling released 2024-02-08. Immediately effective — clarifies existing TCPA authority rather than creating new rules.,,,Released: 2024-02-08,"Clarifies that AI-generated voices are ""artificial"" voices under 47 U.S.C. 227(b)(1), making AI-voice robocalls to residential lines without prior express consent violations of the TCPA.","Existing TCPA penalties apply: up to $500 per violation, trebled to $1,500 for willful or knowing violations. State attorneys general may also enforce.",FCC; state attorneys general,,,https://docs.fcc.gov/public/attachments/FCC-24-17A1.pdf,https://vorplabs.com/ai-regulatory-updates/deepfake-laws#fcc-ai-voice-declaratory-ruling
fcc-ai-nprm,federal,United States (federal),FCC NPRM: AI-Generated Calls and Texts,FCC 24-84,nprm,full,proposed,NPRM released 2024-08-08. Comment period closed. No final rule issued as of 2026-07-10.,,,NPRM released: 2024-08-08,"Proposes additional rules for AI-generated calls and texts, including disclosure requirements and consent frameworks. Not finalized.","Not applicable — proposed rule, not in force.",FCC (if finalized),,,https://docs.fcc.gov/public/attachments/FCC-24-84A1.pdf,https://vorplabs.com/ai-regulatory-updates/deepfake-laws#fcc-ai-nprm
fcc-lingo-telecom-consent-decree,federal,United States (federal),FCC Consent Decree: Lingo Telecom (AI Deepfake Robocalls),DA 24-790,enforcement-order,full,consent-decree,Consent decree entered 2024-08-21 for STIR/SHAKEN attestation violations tied to transmission of AI deepfake robocalls impersonating President Biden.,,,Consent decree entered: 2024-08-21,"Requires Lingo Telecom to pay $1,000,000 civil penalty, implement compliance plan, and adopt Know Your Customer / Know Your Upstream Provider controls for STIR/SHAKEN attestation.","$1,000,000 civil penalty.",FCC Enforcement Bureau,,,https://docs.fcc.gov/public/attachments/DA-24-790A1.pdf,https://vorplabs.com/ai-regulatory-updates/deepfake-laws#fcc-lingo-telecom-consent-decree
fcc-kramer-forfeiture,federal,United States (federal),FCC Forfeiture Order: Steve Kramer (AI Deepfake Robocalls),FCC 24-104,enforcement-order,full,forfeiture-ordered,"Forfeiture order adopted 2024-09-26, released 2024-09-30. FCC referred Kramer to DOJ for collection 2024-12-03.",,,Notice of apparent liability issued: 2024-05-24; Forfeiture order adopted: 2024-09-26; Referred to DOJ for collection: 2024-12-03,"$6,000,000 forfeiture for illegal robocalls carrying deepfake AI-generated voice messages impersonating President Biden, in violation of the Truth in Caller ID Act.","$6,000,000 forfeiture.",FCC; DOJ (collection),,,https://docs.fcc.gov/public/attachments/FCC-24-104A1_Rcd.pdf; https://docs.fcc.gov/public/attachments/DOC-405811A1.pdf,https://vorplabs.com/ai-regulatory-updates/deepfake-laws#fcc-kramer-forfeiture
defiance-act,federal,United States (federal),DEFIANCE Act,S.1837 (119th Congress),bill,full,passed-one-chamber,Passed the Senate 2026-01-13. Not passed by the House. Not enacted as of 2026-07-10.,,,Passed Senate: 2026-01-13,"Would create a federal civil cause of action for victims of non-consensual deepfake intimate images, with statutory damages and injunctive relief. Not enacted.","Not applicable — bill, not law. Would provide statutory damages if enacted.",Private right of action (if enacted),,,https://www.congress.gov/bill/119th-congress/senate-bill/1837,https://vorplabs.com/ai-regulatory-updates/deepfake-laws#defiance-act
no-fakes-act,federal,United States (federal),NO FAKES Act,S.2770 (118th Congress) / reintroduced 119th,bill,full,introduced,Introduced in the 118th Congress; reintroduced in the 119th. Not enacted as of 2026-07-10.,,,Introduced (118th Congress): 2024,Would create a federal right of publicity for AI-generated digital replicas of voice and likeness. Not enacted.,"Not applicable — bill, not law. Would provide statutory damages and injunctive relief if enacted.",Private right of action (if enacted),,,https://www.congress.gov/bill/118th-congress/senate-bill/2770,https://vorplabs.com/ai-regulatory-updates/deepfake-laws#no-fakes-act
ca-ab-730,state,California,AB 730 (2019) — Elec. Code 20010,AB 730 (2019) — Elec. Code 20010,election-deepfake,full,,,2020-01-01,day,,Prohibits distribution of deceptive deepfake audio or video of candidates within 60 days of an election with intent to injure the candidate's reputation or deceive a voter.,No criminal penalty. Injunctive relief; civil liability.,,Yes — candidates may seek injunctive relief.,,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201920200AB730,https://vorplabs.com/ai-regulatory-updates/deepfake-laws#ca-ab-730
ca-ab-2839,state,California,AB 2839 (2024),AB 2839 (2024),election-deepfake,full,,,2024-09-17,day,,"Signed into law 2024-09-17. Extends the deepfake election prohibition to 120 days before an election, adds platform takedown duties for deceptive AI-generated election content, and expands injunctive and damages remedies. A federal court has temporarily blocked some of these provisions on First Amendment grounds; which parts are currently enforceable depends on the latest court orders.",Injunctive relief; civil damages. Platforms face mandatory content labeling and removal obligations (subject to court orders).,,Yes.,A federal court (E.D. Cal.) issued a preliminary injunction blocking portions of AB 2839 in Kohls v. Bonta (2:24-cv-02527). X Corp v. Bonta raised similar First Amendment challenges. Which provisions remain enforceable depends on the most recent court orders; check the docket for current status.,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202320240AB2839,https://vorplabs.com/ai-regulatory-updates/deepfake-laws#ca-ab-2839
