# US Federal AI Enforcement Tracker
# Version: 2026.07.19
# As of: 2026-07-18
# License: CC BY 4.0, https://creativecommons.org/licenses/by/4.0/
# Citation: Vorp Labs, US Federal AI Enforcement Tracker (as of 2026-07-18), https://vorplabs.com/ai-regulatory-updates/federal-enforcement
# Source: https://vorplabs.com/ai-regulatory-updates/federal-enforcement
# Releases and checksums: https://vorplabs.com/datasets/federal-ai-enforcement/manifest.json
anchor,agency,target,short_name,filed_date,filed_date_precision,order_date,order_date_precision,legal_authority,docket_or_file_numbers,status,status_detail,outcome,summary,ai_issue,ai_issue_tags,court,penalties_summary,source_urls,url
ftc-rite-aid,FTC,Rite Aid Corp.,FTC v. Rite Aid,2023-12-19,day,2024-03-08,day,FTC Act Section 5,2023190; 2:23-cv-05023,final-order,Stipulated order filed 2024-03-08; FTC case page shows Pending but order is in effect.,Five-year ban on facial recognition for security/surveillance; biometric safeguards and information-security obligations.,"FTC alleged Rite Aid deployed AI facial-recognition surveillance without reasonable safeguards, misidentifying consumers and disproportionately impacting people of color. The stipulated order bans Rite Aid from using facial recognition or analysis systems for security or surveillance for five years and imposes biometric safeguards.",AI facial-recognition surveillance / biometric automated systems,biometric-surveillance,E.D. Pa.,,https://www.ftc.gov/legal-library/browse/cases-proceedings/2023190-rite-aid-corporation-ftc-v,https://vorplabs.com/ai-regulatory-updates/federal-enforcement#ftc-rite-aid
ftc-ngl-labs,FTC,NGL Labs / Raj Vir / Joao Figueiredo,FTC v. NGL Labs,2024-07,month,,,FTC Act Section 5; COPPA Rule,,final-order,Refund claims intake closed 2026-04-06; payments pending distribution. FTC case page shows Pending.,$4.5M FTC redress plus $500k Los Angeles DA civil penalty; ban on offering anonymous messaging apps to under-18 users; AI-moderation misrepresentation ban.,"FTC and Los Angeles DA alleged NGL Labs falsely claimed its AI content-moderation program filtered out cyberbullying and other harmful messages, while the app sent fake messages designed to lure users into paid subscriptions and marketed to children.",False AI content-moderation claims,ai-washing,,"redress: $4,500,000 (exact); civil-penalty: $500,000 (exact)",https://www.ftc.gov/news-events/news/press-releases/2024/07/ftc-order-will-ban-ngl-labs-its-founders-offering-anonymous-messaging-apps-kids-under-18-halt; https://www.ftc.gov/legal-library/browse/cases-proceedings/ngl,https://vorplabs.com/ai-regulatory-updates/federal-enforcement#ftc-ngl-labs
ftc-donotpay,FTC,DoNotPay Inc.,FTC v. DoNotPay,2024-09-25,day,2025-02,month,FTC Act Section 5,,final-order,Final order issued February 2025.,Bars deceptive AI-lawyer claims; monetary relief and notice to past subscribers.,"FTC alleged DoNotPay deceptively marketed itself as 'the world's first robot lawyer,' claiming its AI could substitute for a human lawyer when the product could not.",AI-capability claims / AI washing,ai-washing,,"redress: $193,000 (exact) [Monetary relief under the final order.]",https://www.ftc.gov/legal-library/browse/cases-proceedings/donotpay; https://www.ftc.gov/news-events/news/press-releases/2025/02/ftc-finalizes-order-donotpay-prohibits-deceptive-ai-lawyer-claims-imposes-monetary-relief-requires,https://vorplabs.com/ai-regulatory-updates/federal-enforcement#ftc-donotpay
ftc-rytr,FTC,Rytr LLC,In the Matter of Rytr LLC,2024-09-25,day,2024-12-18,day,FTC Act Section 5,232-3052; C-4806,set-aside,"Decision and Order entered 2024-12-18. Per the FTC's press release, the Commission cited the Administration's AI Executive Order and AI Action Plan, and stated that the complaint failed to satisfy the legal requirements of the FTC Act. The FTC reopened and set aside the order on 2025-12-22. Commission vote 2-0.",Original order barred selling services dedicated to generating consumer reviews and testimonials; order vacated by FTC set-aside 2025-12-22.,FTC alleged Rytr's AI writing assistant provided the means to generate fake consumer reviews and testimonials. The FTC entered a final order in December 2024 but reopened and set it aside in December 2025.,AI review/testimonial manipulation,review-manipulation,,,https://www.ftc.gov/legal-library/browse/cases-proceedings/232-3052-rytr-llc-matter; https://www.ftc.gov/news-events/news/press-releases/2025/12/ftc-reopens-sets-aside-rytr-final-order-response-trump-administrations-ai-action-plan,https://vorplabs.com/ai-regulatory-updates/federal-enforcement#ftc-rytr
ftc-evolv,FTC,Evolv Technologies,FTC v. Evolv Technologies,2024-11-26,day,,,FTC Act Section 5,,proposed-order-pending-court-approval,Complaint and proposed stipulated order filed 2024-11-26. FTC filed Motion to Approve 2025-03-11. Case page shows Pending; court approval not yet granted.,"Proposed order would restrict claims about detection accuracy, false alarms, labor-cost savings, and AI-enabled superiority unless substantiated.",FTC alleged Evolv Technologies deceptively advertised that its AI-powered weapons-screening systems could detect all weapons and that AI made them more accurate and cost-effective than traditional metal detectors.,AI-capability claims / deceptive AI advertising,ai-washing,,,https://www.ftc.gov/news-events/news/press-releases/2024/11/ftc-takes-action-against-evolv-technologies-deceiving-users-about-its-ai-powered-security-screening,https://vorplabs.com/ai-regulatory-updates/federal-enforcement#ftc-evolv
ftc-sitejabber,FTC,Sitejabber / GGL Projects Inc.,FTC v. Sitejabber,2024-11-06,day,2025-01-03,day,FTC Act Section 5,,final-order,Proposed order 2024-11-06; final order approved 2025-01-03.,Bars misrepresentations about ratings and consumer reviews.,"FTC charged Sitejabber's AI-enabled review platform with misrepresenting that published ratings and reviews came from consumers who had experienced the product or service, when they had not.",AI-enabled review manipulation,review-manipulation,,,https://www.ftc.gov/news-events/news/press-releases/2024/11/ftc-order-against-ai-enabled-review-platform-sitejabber-will-ensure-consumers-get-truthful-accurate; https://www.ftc.gov/news-events/news/press-releases/2025/01/ftc-approves-final-order-against-sitejabber-which-misrepresented-ratings-reviews-consumers-who-had,https://vorplabs.com/ai-regulatory-updates/federal-enforcement#ftc-sitejabber
ftc-accessibe,FTC,accessiBe Inc. / accessiBe Ltd.,FTC v. accessiBe,2025-01-03,day,2025-04-22,day,FTC Act Section 5,2223156,final-order,Complaint and proposed order 2025-01-03; final order approved April 2025.,$1M payment; substantiation requirement for automated/AI WCAG-compliance claims; endorsement disclosures.,FTC alleged accessiBe made deceptive claims that its automated AI-powered web-accessibility tool could make any website WCAG-compliant and used endorsements without disclosing material connections.,AI-capability claims / AI washing,ai-washing; accessibility-compliance-claims,,"other: $1,000,000 (exact) [Monetary payment under final order; the cited materials say 'pay $1 million' without characterizing it as a civil penalty or redress.]",https://www.ftc.gov/legal-library/browse/cases-proceedings/2223156-accessibe-inc,https://vorplabs.com/ai-regulatory-updates/federal-enforcement#ftc-accessibe
ftc-content-at-scale,FTC,Workado LLC f/k/a Content at Scale AI,In the Matter of Content at Scale AI,2025-04-28,day,2025-08-28,day,FTC Act Section 5,2323092; C-4822,final-order,Proposed order 2025-04-28; final order 2025-08-28.,Must substantiate AI-content-detection efficacy claims; retain evidence; notify eligible consumers; compliance reports.,FTC charged Workado with making deceptive and unsubstantiated claims about the accuracy of its AI-content-detection products.,AI-capability claims / AI washing,ai-washing,,,https://www.ftc.gov/legal-library/browse/cases-proceedings/2323092-content-scale-ai,https://vorplabs.com/ai-regulatory-updates/federal-enforcement#ftc-content-at-scale
ftc-fba-machine,FTC,FBA Machine / Passive Scaling / Bratislav Rozenfeld,FTC v. FBA Machine,2024-06,month,,,FTC Act; Business Opportunity Rule,X240032; 2:24-cv-06635-JXN-LDW,proposed-order-pending-court-approval,Proposed stipulated order filed 2025-07-30; the FTC case page remains Pending and court entry has not been verified.,"Proposed terms include a permanent business-opportunity ban, turnover of financial accounts and real-property proceeds for consumer redress, and a $15,768,702.41 judgment that would be partially suspended after the required asset transfers.","FTC alleged defendants falsely guaranteed income through online storefronts using AI-powered software, violating the FTC Act and the Business Opportunity Rule. The FTC filed a proposed stipulated order in July 2025.",Deceptive AI business-opportunity / earnings claims,business-opportunity-earnings-claims,,"judgment: $15,768,702.41 (suspended) [Proposed judgment; the remainder would be suspended after specified asset transfers and is excluded from totals.]",https://www.ftc.gov/legal-library/browse/cases-proceedings/x240032-fba-machinepassive-scaling-ftc-v; https://www.ftc.gov/news-events/news/press-releases/2025/07/ftc-obtains-permanent-ban-e-commerce-business-opportunity-scheme-operator,https://vorplabs.com/ai-regulatory-updates/federal-enforcement#ftc-fba-machine
ftc-ecommerce-empire,FTC,Ecommerce Empire Builders / Empire Holdings Group / Peter Prusinowski,FTC v. Empire Holdings Group,2024-09-25,day,2025-05-08,day,FTC Act; Business Opportunity Rule,,final-order,Complaint announced 2024-09-25; order entered 2025-05-08.,Business-opportunity ban; asset turnover for refunds.,FTC alleged defendants made deceptive earnings claims about an 'AI-powered Ecommerce Empire' business-opportunity scheme.,Deceptive AI business-opportunity / earnings claims,business-opportunity-earnings-claims,,,https://www.ftc.gov/legal-library/browse/cases-proceedings/empire-holdings-group-llc-et-al-ftc-v,https://vorplabs.com/ai-regulatory-updates/federal-enforcement#ftc-ecommerce-empire
