# AI Media Rights, Consent & Provenance Registry
# Version: 2026.07.15
# As of: 2026-07-15
# License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
# Citation: Vorp Labs, AI Media Rights, Consent & Provenance Registry (as of 2026-07-15), https://vorplabs.com/models/media-rights
# Source: https://vorplabs.com/models/media-rights
# Releases and checksums: https://vorplabs.com/datasets/media-rights-provenance/manifest.json
anchor,provider,service_surface,modalities,terms_document,terms_doc_date,commercial_use_status,commercial_use_summary,output_ownership_status,output_ownership_summary,training_use_status,training_use_summary,provenance_status,provenance_summary,voice_consent_status,voice_consent_summary,indemnity_status,indemnity_summary,open_items,source_urls,last_checked,url
openai-sora-api,OpenAI,Sora API (Services Agreement + Service Terms),video-generation,OpenAI Services Agreement; OpenAI Service Terms,2026-06-12,partial,"Commercially usable subject to law, policy, and third-party rights; the agreement assigns Output to the customer but contains no dedicated commercial-use clause.",verified,"Assigned: the customer owns Output to the extent permitted by law, and OpenAI assigns its right, title, and interest in it. Similar output may be generated for other customers.",verified,Not used for training by default; API customer content trains models only if the customer explicitly opts in.,partial,"Provider claim: Sora videos carry C2PA metadata plus visible and invisible provenance signals. The claim is Sora-wide, not an API response-schema guarantee, and Vorp Labs has not yet tested output behavior.",,,verified,"Output-IP indemnity for API customers, with exclusions for known or likely infringement, ignored safeguards, modification or combination, missing Input rights, trademark trade use, and Third Party Offering content.","Current Sora 2 training-data disclosure: the category-level statement dates to the December 2024 system card, not the sora-2 model family.; API response provenance fields are undocumented; output-behavior testing queued.; Migration deadline: the Sora API is scheduled to end September 24, 2026 — recheck before relying on this surface.",https://openai.com/policies/services-agreement/; https://openai.com/policies/service-terms/; https://openai.com/business-data/; https://openai.com/index/sora-system-card/; https://help.openai.com/en/articles/20001152-what-to-know-about-the-sora-discontinuation,2026-07-14,https://vorplabs.com/models/media-rights#openai-sora-api
google-veo-gemini-api,Google,Veo 3.1 via paid Gemini Developer API,video-generation,Gemini API Additional Terms of Service,2026-03-23,partial,"The paid Gemini API is positioned for professional or business use, but no clause expressly grants commercial use; use remains subject to the API terms and law.",verified,Non-claim rather than assignment: Google states it will not claim ownership over generated content. Similar content may be generated for others.,verified,Paid services: prompts and responses are not used to improve Google products. Unpaid-tier treatment differs sharply; active Cloud billing determines paid status.,partial,"Provider claim: Veo output is invisibly watermarked with SynthID, checkable via Google's verification tooling. SynthID is not C2PA; no visible watermark or API provenance field is documented. Not yet output-tested by Vorp Labs.",,,unverified,No Google-to-customer output-IP indemnity was verified for the paid Gemini Developer API. Vertex AI or negotiated Google Cloud indemnities do not automatically apply to this surface.,"Customer Input-rights warranty, data residency, and Veo 3.1 training-corpus disclosure remain unverified for this surface.; Veo 2 and Veo 3 model IDs carried a published June 30, 2026 shutdown date; automate alias checks before pinning model IDs.",https://ai.google.dev/gemini-api/terms; https://ai.google.dev/gemini-api/docs/zdr; https://ai.google.dev/gemini-api/docs/veo,2026-07-14,https://vorplabs.com/models/media-rights#google-veo-gemini-api
runway-api,Runway,Runway API (standard self-serve vs Enterprise),video-generation,Runway Terms of Use; Runway Enterprise Services Terms,2026-06-01,verified,"Standard terms do not restrict commercial use of Outputs, subject to compliance; Enterprise ownership terms support commercial deployment under the Order.",partial,"Tier-dependent wording: standard terms say Runway does not claim ownership (a non-claim, not an assignment); Enterprise terms affirmatively state the customer owns Customer Content including Outputs.",verified,"Split by tier: standard terms permit training on Inputs and Outputs under a broad perpetual license; Enterprise terms prohibit training on Customer Content, extended to third-party models routed through Runway.",partial,"Provider claim: all Runway-generated outputs include C2PA metadata, with an earlier claim of invisible watermarks on every generation. Applicability to third-party models in the same catalog is not explicit. Not yet output-tested by Vorp Labs.",,,partial,"Standard: none (the customer indemnifies Runway). Enterprise: service-IP indemnity excluding Inputs, misconduct, modification or combination, and Customer Applications; Output-specific coverage is not expressly stated.","The API marketing page advertises no training on your data, while the standard Terms expressly permit it — the public no-training legal clause is Enterprise-specific.; Lifecycle disclosure is model-specific: gen4_aleph carries a published sunset (2026-07-30, migrate to Aleph 2.0) tracked on the model deprecation tracker, while gen3a_turbo was removed from the catalog without a dated shutdown notice.",https://runwayml.com/terms-of-use; https://runwayml.com/enterprise-terms; https://help.runwayml.com/hc/en-us/articles/51248305153683-Enterprise-FAQ-Third-party-Models-in-Runway; https://runwayml.com/research/theturingreel; https://docs.dev.runwayml.com/guides/models/,2026-07-15,https://vorplabs.com/models/media-rights#runway-api
luma-dream-machine-api,Luma,Dream Machine API,video-generation,Luma API Terms of Use (supplementing individual or Enterprise Terms),2026-04-28,verified,"API generations may be used commercially per the official API FAQ — unlike non-API Free and Lite platform plans, which are noncommercial and watermarked. Channel is decisive.",verified,"Assigned: customer owns Output and Luma assigns its rights in it, excluding third-party Output.",verified,"API Input and Output are not used for training, regardless of plan. The non-API individual platform permits training on both paid and free platform content — the opposite default.",partial,"Conflicting positions: the API FAQ says outputs carry no watermarks of any kind, while the individual Terms reserve the right to add watermarks, content credentials, or provenance metadata. No implemented C2PA or detector verified. Not yet output-tested by Vorp Labs.",,,partial,"Self-serve: the customer indemnifies Luma, including API-integration and Output claims. Enterprise terms reference a Luma IP-claim indemnity whose exact coverage was not recovered.",No fixed API retention duration published; individual terms allow storage-limit changes without notice.; Training-corpus disclosure for current Dream Machine models unverified.,https://lumalabs.ai/legal/api-terms-of-use; https://lumalabs.ai/legal/terms-of-service; https://lumalabs.ai/legal/enterprise-terms-of-service; https://docs.lumalabs.ai/docs/faq,2026-07-14,https://vorplabs.com/models/media-rights#luma-dream-machine-api
twelvelabs-video-understanding,TwelveLabs,Video understanding API (self-serve vs Enterprise),video-understanding,TwelveLabs Terms of Use (self-serve); Enterprise Terms of Service + Bonterms AI Standard Clauses v1.0,2025-12-05,partial,"Enterprise: the customer retains IP in Customer Data (Inputs and Outputs), supporting business use; self-serve terms contain no explicit commercial-use clause.",partial,"Enterprise AI clauses deem Output to be Customer Data, which the customer owns. Embeddings are not expressly defined as Output, so embedding ownership is unresolved.",verified,Opposite defaults by tier: self-serve terms let TwelveLabs train and improve its services on Customer Data; Enterprise AI clauses restrict training to uses solely benefiting the customer.,partial,"An understanding and indexing surface: watermarks and C2PA generally do not apply to transcript, search, or analysis output, and no lineage or provenance fields for outputs were verified.",,,partial,Self-serve: customer-to-provider only. Enterprise: defense against claims that the Cloud Service infringes IP; no Output-specific indemnity; trials and betas excluded.,"Embedding ownership unresolved: Outputs are Enterprise Customer Data, but numerical embeddings are not expressly defined as Output.; No complete indexed-video or embedding retention schedule verified; model migrations (Marengo 2.7 to 3.0) require regenerated, incompatible embeddings.",https://www.twelvelabs.io/legal/terms-of-use; https://www.twelvelabs.io/legal/tos-2025.12.05; https://www.twelvelabs.io/ko/legal/ai-standard-clauses,2026-07-14,https://vorplabs.com/models/media-rights#twelvelabs-video-understanding
kling-open-platform-api,Kling AI (Kuaishou),Kling Open Platform API,video-generation,No English-language API terms document verified,,unverified,"No English-language, API-specific commercial-use grant was verifiable on the check date; official domains blocked retrieval. Consumer-plan statements must not be transposed to API output.",unverified,"No API-specific ownership, assignment, or output-license clause verified.",unverified,"No primary-source API clause establishing training defaults, opt-outs, or exemptions verified.",unverified,"Visible watermarks observed in consumer products cannot be assumed for API output; no API-specific watermark, C2PA, detector, or provenance field verified.",,,unverified,"No provider indemnity, eligibility criteria, or exclusions verified.",This evidence gap is the record: procurement teams should obtain and review the governing API terms directly from Kling before deployment.,https://kling.ai/document-api/guides/get-started/overview,2026-07-14,https://vorplabs.com/models/media-rights#kling-open-platform-api
minimax-hailuo-video-api,MiniMax (Hailuo),Video generation API,video-generation,No English developer-API terms verified; retrieved document covers the AI App and Web only,,unverified,No English-language API-specific commercial-use clause verified. The retrievable MiniMax terms are expressly titled for the AI App and Web — a scope mismatch for the developer API.,unverified,"API output ownership unverified. The app/web document grants MiniMax a broad perpetual license over user contributions and generated content, but cannot safely be transposed to the API.",unverified,No API-specific training-use clause verified.,unverified,"No API-specific watermark, C2PA, detector, or provenance field verified.",,,unverified,No provider indemnity verified for the API.,Procurement teams should obtain the governing developer-API agreement from MiniMax directly; the app/web terms are not it.,https://agent.minimax.io/doc/en/terms-of-service.html; https://platform.minimax.io/docs/guides/pricing-video,2026-07-14,https://vorplabs.com/models/media-rights#minimax-hailuo-video-api
elevenlabs-tts-api,ElevenLabs,Text-to-speech / API plans (non-EEA Terms),text-to-speech; voice-agents,ElevenLabs Terms of Service (non-EEA),2026-03-31,verified,"Free users: non-commercial only, with attribution required for publication. Paid subscribers: commercial use permitted subject to the Prohibited Use Policy. Beta services may separately prohibit production use.",verified,"As between the user and ElevenLabs, the user retains rights in generated Output; similar output may be generated for others, so exclusivity is not promised.",verified,Customer Content is licensed for service improvement and development by default. An account-level training opt-out exists but is prospective only — it does not undo prior uses or resulting materials.,partial,"Provider claim: SynthID audio watermarking covers all free-user TTS generations and selected paid features, with phased expansion; the Audio Detector checks SynthID first, then a statistical classifier. Audio generated before June 2026 carries no watermark. Not yet output-tested by Vorp Labs.",,,partial,No provider-to-customer output-IP indemnity identified in public self-serve terms; the published clause runs the other direction (customer indemnifies ElevenLabs).,"Document hierarchy: base Terms (2026-03-31), Agents Terms (2026-04-29), Music terms (2026-05-26), DPA (2026-04-08), and Privacy Policy (2026-05-20) carry separate dates — check the specific surface.; Agent deployments carry AI-disclosure and call-recording notice duties plus five-year consent-evidence retention under the Agents Terms.",https://elevenlabs.io/terms-of-use; https://elevenlabs.io/dpa; https://elevenlabs.io/docs/eleven-creative/audio-tools/audio-detector; https://elevenlabs.io/agents-terms,2026-07-14,https://vorplabs.com/models/media-rights#elevenlabs-tts-api
elevenlabs-voice-cloning,ElevenLabs,Voice cloning (Instant and Professional),text-to-speech,ElevenLabs Terms of Service + Prohibited Use Policy + product guides,2026-03-31,verified,"Same plan rule as TTS (free non-commercial, paid commercial), subject to consent and rights restrictions. Professional Voice Cloning requires the Creator plan or above.",verified,"User retains rights in Output, subject to underlying rights in the sampled voice and the broad content license granted to ElevenLabs.",verified,"Voice recordings, voice models, and output fall within the default improvement license, described as perpetual and irrevocable; the training opt-out is prospective only.",partial,"Clone-generated TTS is covered where it falls within the documented SynthID rollout (all free-user TTS, selected paid features); paid coverage is not universally enumerated.",partial,"Instant: in-product confirmation of rights and consent to clone (with a documentation conflict on whether voice verification applies). Professional: self-voice only — even consent does not let one account create another person's clone; the owner reads a visual CAPTCHA script aloud for voice verification, then may share. Political candidates and elected officials cannot be impersonated regardless of authorization. Under-13 use prohibited; 13-18 requires parental consent.",partial,No public provider indemnity; customer indemnity applies.,"Documentation conflict: the IVC guide shows a checkbox warranty while the API concepts page says both IVC and PVC use voice CAPTCHA — treat the IVC verification method as unresolved until ElevenLabs clarifies.; Voice Library sharing adds a notice period on removal, and previously generated outputs survive removal.",https://elevenlabs.io/terms-of-use; https://elevenlabs.io/docs/eleven-creative/voices/voice-cloning/instant-voice-cloning; https://elevenlabs.io/docs/eleven-api/guides/how-to/voices/professional-voice-cloning; https://elevenlabs.io/use-policy; https://elevenlabs.io/vla,2026-07-14,https://vorplabs.com/models/media-rights#elevenlabs-voice-cloning
elevenlabs-music,ElevenLabs,Eleven Music / Music API,music,Eleven Music Model-Specific Terms; Music Terms; Music API Terms,2026-05-26,verified,"A rights matrix, not a yes/no: self-serve plans list online and offline commercial media rights except film, TV, radio, and Studio Games; Free cannot download or stream and requires attribution; Starter cannot stream; reseller and music-library rights are prohibited on self-serve. Enterprise permits all online/offline commercial media use. API access starts at the Starter plan.",verified,"Music output is expressly within the base Output definition, so the user retains rights as between the parties, subject to plan restrictions and non-exclusivity.",verified,Base content license and prospective training opt-out apply to Music Input and Output unless an enterprise agreement says otherwise.,unverified,"No Music-specific SynthID, C2PA, detector, or API provenance field verified — the published Audio Detector rollout expressly covers TTS, not Music.",,,verified,No provider output-IP indemnity; the Music API Terms impose customer indemnity for misuse and content provided to the API.,"Not a voice-clone product, but the Music terms prohibit output that replicates or mimics a recording artist's voice or identifiable characteristics, and prohibit prompts naming artists, songs, albums, labels, or distinctive lyrics.; Marketing describes collaboration with artists, labels, and publishers, but no itemized licensed-work or training-corpus inventory is published.; No official public Suno or Udio API was verifiable on the check date — unofficial wrapper endpoints are not provider APIs and carry none of these terms.",https://elevenlabs.io/eleven-music-model-specific-terms; https://elevenlabs.io/music-terms; https://elevenlabs.io/music-api-terms,2026-07-14,https://vorplabs.com/models/media-rights#elevenlabs-music
