# US Public-Sector AI Procurement Clause and Policy Inventory
# Version: 2026.07.21
# As of: 2026-07-21
# License: CC BY 4.0, https://creativecommons.org/licenses/by/4.0/
# Citation: Vorp Labs, US Public-Sector AI Procurement Clause and Policy Inventory (as of 2026-07-21), https://vorplabs.com/ai-regulatory-updates/us-ai-procurement
# Source: https://vorplabs.com/ai-regulatory-updates/us-ai-procurement
# Releases and checksums: https://vorplabs.com/datasets/us-ai-procurement/manifest.json
anchor,jurisdiction_level,jurisdiction_or_agency,instrument,instrument_title,instrument_number,fr_citation,fr_document_number,status,legal_effect,implementation_status,ai_scope,key_obligations,obligation_tags,flowdown,event_date,effective_date,deadline_label,deadline_date,sunset_date,rescinds,rescinded_by,source_url,source_title,source_type,verification,notes,url
gsar-552-239-7001,federal,General Services Administration,clause,"Proposed GSAR clause 552.239-7001, acquisition of information and communication technology",552.239-7001,91 FR 36559,2026-12205,proposed,binding_clause,,llm,LLM and supply-chain disclosure; Government-data and custom-development rights; no training or unrelated use; safeguarding; localization; deletion; incident reporting; portability; change notices; truthfulness and ideological neutrality; Government testing; flowdown.,ai_disclosure; supply_chain_disclosure; data_ownership; custom_development_rights; training_prohibition; data_localization; secure_deletion; incident_reporting; portability; change_notification; truthfulness; ideological_neutrality; predeployment_testing; subcontractor_flowdown,yes,2026-06-17,,Comments due,2026-08-03,,,,https://www.federalregister.gov/documents/2026/06/17/2026-12205/general-services-acquisition-regulation-acquisition-of-information-and-communication-technology,Federal Register: General Services Acquisition Regulation; Acquisition of Information and Communication Technology,federal_register,verified,"A proposal and request for comments, not a final clause. GSA states it is collecting input before possible future deviation or formal rulemaking.",https://vorplabs.com/ai-regulatory-updates/us-ai-procurement#gsar-552-239-7001
gsar-552-239-7001-1,federal,General Services Administration,clause,Proposed flowdown clause 552.239-7001-1 (LLM developer),552.239-7001-1,91 FR 36559,2026-12205,proposed,binding_clause,,llm,"Flows applicable IP, compliance, privacy, change-notification, and performance requirements to an LLM developer.",subcontractor_flowdown; ip_rights; privacy; change_notification; performance_metrics,yes,2026-06-17,,Comments due,2026-08-03,,,,https://www.federalregister.gov/documents/2026/06/17/2026-12205/general-services-acquisition-regulation-acquisition-of-information-and-communication-technology,Federal Register: General Services Acquisition Regulation; Acquisition of Information and Communication Technology,federal_register,verified,,https://vorplabs.com/ai-regulatory-updates/us-ai-procurement#gsar-552-239-7001-1
gsar-552-239-7001-2,federal,General Services Administration,clause,Proposed flowdown clause 552.239-7001-2 (LLM system operator),552.239-7001-2,91 FR 36559,2026-12205,proposed,binding_clause,,llm,"Flows applicable IP, reporting, privacy, portability, change-notification, and performance requirements to an LLM system operator.",subcontractor_flowdown; ip_rights; privacy; portability; change_notification; performance_metrics,yes,2026-06-17,,Comments due,2026-08-03,,,,https://www.federalregister.gov/documents/2026/06/17/2026-12205/general-services-acquisition-regulation-acquisition-of-information-and-communication-technology,Federal Register: General Services Acquisition Regulation; Acquisition of Information and Communication Technology,federal_register,verified,,https://vorplabs.com/ai-regulatory-updates/us-ai-procurement#gsar-552-239-7001-2
gsar-552-239-7001-3,federal,General Services Administration,clause,Proposed flowdown clause 552.239-7001-3 (LLM system integrator),552.239-7001-3,91 FR 36559,2026-12205,proposed,binding_clause,,llm,"Flows applicable IP, compliance, privacy, portability, model-version and change-notification, and performance requirements to an LLM system integrator.",subcontractor_flowdown; ip_rights; privacy; portability; change_notification; performance_metrics,yes,2026-06-17,,Comments due,2026-08-03,,,,https://www.federalregister.gov/documents/2026/06/17/2026-12205/general-services-acquisition-regulation-acquisition-of-information-and-communication-technology,Federal Register: General Services Acquisition Regulation; Acquisition of Information and Communication Technology,federal_register,verified,,https://vorplabs.com/ai-regulatory-updates/us-ai-procurement#gsar-552-239-7001-3
gsar-552-239-7001-4,federal,General Services Administration,clause,Proposed flowdown clause 552.239-7001-4 (LLM service provider),552.239-7001-4,91 FR 36559,2026-12205,proposed,binding_clause,,llm,"Flows applicable IP, compliance, privacy, portability, change-notification, and performance requirements to an LLM service provider.",subcontractor_flowdown; ip_rights; privacy; portability; change_notification; performance_metrics,yes,2026-06-17,,Comments due,2026-08-03,,,,https://www.federalregister.gov/documents/2026/06/17/2026-12205/general-services-acquisition-regulation-acquisition-of-information-and-communication-technology,Federal Register: General Services Acquisition Regulation; Acquisition of Information and Communication Technology,federal_register,verified,,https://vorplabs.com/ai-regulatory-updates/us-ai-procurement#gsar-552-239-7001-4
omb-m-25-21,federal,Office of Management and Budget,memo,"M-25-21, Accelerating Federal Use of AI through Innovation, Governance, and Public Trust",M-25-21,,,operative,mandatory_policy,,ai_system; high_impact_ai,Agency AI governance; high-impact-AI determination; pre-deployment testing; AI impact assessments; monitoring; discontinuation or waiver of noncompliant high-impact uses.,impact_assessment; predeployment_testing; continuous_monitoring,no,2025-04-03,2025-04-03,,,,M-24-10,,https://www.whitehouse.gov/wp-content/uploads/2025/02/M-25-21-Accelerating-Federal-Use-of-AI-through-Innovation-Governance-and-Public-Trust.pdf,OMB Memorandum M-25-21 (whitehouse.gov PDF),white_house,verified,Excludes covered national-security systems.,https://vorplabs.com/ai-regulatory-updates/us-ai-procurement#omb-m-25-21
omb-m-24-10,federal,Office of Management and Budget,memo,"M-24-10, legacy federal AI governance memorandum",M-24-10,,,rescinded,mandatory_policy,,ai_system,Rescinded and replaced by M-25-21.,,no,2025-04-03,,,,,,M-25-21,https://www.whitehouse.gov/wp-content/uploads/2025/02/M-25-21-Accelerating-Federal-Use-of-AI-through-Innovation-Governance-and-Public-Trust.pdf,OMB Memorandum M-25-21 (whitehouse.gov PDF),white_house,verified,,https://vorplabs.com/ai-regulatory-updates/us-ai-procurement#omb-m-24-10
omb-m-25-22,federal,Office of Management and Budget,memo,"M-25-22, Driving Efficient Acquisition of Artificial Intelligence in Government",M-25-22,,,operative,mandatory_policy,,ai_system,Cross-functional acquisition review; American-made AI policy; privacy; IP and data terms; no unauthorized training; portability and lock-in protection; testing; performance monitoring; disclosure analysis; shared internal repository.,data_ownership; ip_rights; training_prohibition; portability; vendor_lock_in; predeployment_testing; performance_metrics; ai_disclosure; repository_sharing; american_made; privacy,conditional,2025-04-03,2025-09-30,,,,M-24-18,,https://www.whitehouse.gov/wp-content/uploads/2025/02/M-25-22-Driving-Efficient-Acquisition-of-Artificial-Intelligence-in-Government.pdf,OMB Memorandum M-25-22 (whitehouse.gov PDF),white_house,verified,"Applies to covered solicitations and options from September 30, 2025. Agency policy updates were due December 29, 2025. Excludes covered national-security systems.",https://vorplabs.com/ai-regulatory-updates/us-ai-procurement#omb-m-25-22
omb-m-24-18,federal,Office of Management and Budget,memo,"M-24-18, legacy responsible-AI-acquisition memorandum",M-24-18,,,rescinded,mandatory_policy,,ai_system,Rescinded and replaced by M-25-22.,,no,2025-04-03,,,,,,M-25-22,https://www.whitehouse.gov/wp-content/uploads/2025/02/M-25-22-Driving-Efficient-Acquisition-of-Artificial-Intelligence-in-Government.pdf,OMB Memorandum M-25-22 (whitehouse.gov PDF),white_house,verified,,https://vorplabs.com/ai-regulatory-updates/us-ai-procurement#omb-m-24-18
omb-m-26-04,federal,Office of Management and Budget,memo,"M-26-04, Increasing Public Trust in Artificial Intelligence Through Unbiased AI Principles",M-26-04,,,operative,mandatory_policy,,llm,"Unbiased AI contractual requirements for LLM procurements; vendor transparency documents; governance, evaluation, provenance, and third-party-control disclosures; relevant terms treated as material to eligibility and payment; user reporting process.",ai_disclosure; model_documentation; source_provenance; truthfulness; ideological_neutrality,unknown,2025-12-11,,Agency policy deadline,2026-03-11,2027-12-11,,,https://www.whitehouse.gov/wp-content/uploads/2025/12/M-26-04-Increasing-Public-Trust-in-Artificial-Intelligence-Through-Unbiased-AI-Principles-1.pdf,OMB Memorandum M-26-04 (whitehouse.gov PDF),white_house,verified,"The memorandum states its own scheduled sunset of December 11, 2027. This inventory reports the memorandum's requirements as issued and takes no position on them.",https://vorplabs.com/ai-regulatory-updates/us-ai-procurement#omb-m-26-04
