# AI Scam & Fraud Tracker
# Version: 2026.07.10
# As of: 2026-07-10
# License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
# Citation: Vorp Labs, AI Scam & Fraud Tracker (as of 2026-07-10), https://vorplabs.com/ai-threat-monitoring
# Source: https://vorplabs.com/ai-threat-monitoring
# Releases and checksums: https://vorplabs.com/datasets/ai-threat-monitoring/manifest.json
anchor,name,mechanism,aliases,advisories,advisory_urls,documented_incidents,incident_source_urls,related_enforcement,source_urls,url
voice-cloning-family-emergency,Voice-cloning family-emergency scams,"A short voice sample is used to synthesize a relative’s voice. The caller claims a crash, arrest, kidnapping, or medical emergency and demands irreversible payment via wire, cryptocurrency, gift cards, or courier.",grandparent scam; AI distress scam,FTC (2023-03-20): Scammers use AI to enhance their family emergency schemes; FBI (2024-12-03): Criminals Use Generative Artificial Intelligence to Facilitate Financial Fraud; FBI (2025-12-05): Criminals Using Altered Proof-of-Life Media to Extort Victims in Virtual Kidnapping for Ransom Scams,https://consumer.ftc.gov/consumer-alerts/2023/03/scammers-use-ai-enhance-their-family-emergency-schemes; https://www.ic3.gov/PSA/2024/PSA241203; https://www.ic3.gov/PSA/2025/PSA251205,"2025: IC3 2025: victims reported over $5 million in losses to AI-enabled distress scams — $5,000,000 (at-least)",https://www.ic3.gov/AnnualReport/Reports/2025_IC3Report.pdf,,https://consumer.ftc.gov/consumer-alerts/2023/03/scammers-use-ai-enhance-their-family-emergency-schemes; https://www.ic3.gov/PSA/2024/PSA241203; https://www.ic3.gov/PSA/2025/PSA251205,https://vorplabs.com/ai-threat-monitoring#voice-cloning-family-emergency
deepfake-executive-impersonation,Deepfake executive impersonation and business email compromise,"Voice-cloned or deepfake video avatars of executives, CFOs, vendors, or lawyers are used to direct employees to transfer funds, change invoices, or disclose credentials. AI is combined with compromised email, messaging apps, and fake virtual meetings.",BEC deepfake; CEO fraud deepfake,FBI (2024-12-03): Criminals Use Generative Artificial Intelligence to Facilitate Financial Fraud; FinCEN (2024-11-13): FinCEN Alert on Fraud Schemes Involving Deepfake Media Targeting Financial Institutions,https://www.ic3.gov/PSA/2024/PSA241203; https://www.fincen.gov/system/files/shared/FinCEN-Alert-DeepFakes-Alert508FINAL.pdf,"2025: IC3 2025: businesses reported over $30 million in losses to BEC scams involving AI — $30,000,000 (at-least)",https://www.ic3.gov/AnnualReport/Reports/2025_IC3Report.pdf,,https://www.ic3.gov/PSA/2024/PSA241203; https://www.fincen.gov/system/files/shared/FinCEN-Alert-DeepFakes-Alert508FINAL.pdf; https://www.ic3.gov/AnnualReport/Reports/2025_IC3Report.pdf,https://vorplabs.com/ai-threat-monitoring#deepfake-executive-impersonation
ai-romance-pig-butchering,AI-enhanced romance and pig-butchering investment scams,"AI-generated personas, images, scripts, translations, and chatbots scale romance and trust-based investment schemes and crypto-investment fraud. Victims are moved to private messaging apps and shown fake trading profits on sham platforms.",pig butchering; romance scam; sha zhu pan,FBI (2024-12-03): Criminals Use Generative Artificial Intelligence to Facilitate Financial Fraud; FBI (2025-07-03): Fraudsters Target US Stock Investors through Investment Clubs Accessed on Social Media and Messaging Applications; FinCEN (2023-09-08): FinCEN Alert on Prevalent Virtual Currency Investment Scam Commonly Known as ‘Pig Butchering’,https://www.ic3.gov/PSA/2024/PSA241203; https://www.ic3.gov/PSA/2025/PSA250703; https://www.fincen.gov/resources/advisoriesbulletinsfact-sheets,"2025: IC3 2025: romance and trust-based scams with reported AI nexus caused over $19 million in losses — $19,000,000 (at-least); 2025: IC3 2025: cryptocurrency investment fraud caused $7.2 billion in reported losses (not all AI-enabled) — $7,200,000,000 (complaint-reported-aggregate)",https://www.ic3.gov/AnnualReport/Reports/2025_IC3Report.pdf; https://www.ic3.gov/AnnualReport/Reports/2025_IC3Report.pdf,SEC v. Delphia / Global Predictions (AI washing); SEC v. Rimar Capital (AI automated trading claims),https://www.ic3.gov/PSA/2024/PSA241203; https://www.ic3.gov/PSA/2025/PSA250703; https://www.fincen.gov/resources/advisoriesbulletinsfact-sheets; https://www.ic3.gov/AnnualReport/Reports/2025_IC3Report.pdf,https://vorplabs.com/ai-threat-monitoring#ai-romance-pig-butchering
deepfake-celebrity-endorsement,Deepfake celebrity-endorsement investment scams,"AI-generated video, images, or voice of celebrities, CEOs, or public figures is used in social ads, investment-club funnels, or private chats to make fraudulent investment opportunities appear endorsed.",,FBI (2024-12-03): Criminals Use Generative Artificial Intelligence to Facilitate Financial Fraud,https://www.ic3.gov/PSA/2024/PSA241203,"2025: IC3 2025: investment complaints with reported AI nexus surpassed $632 million — $632,000,000 (at-least)",https://www.ic3.gov/AnnualReport/Reports/2025_IC3Report.pdf,"SEC v. Delphia / Global Predictions (AI washing, 2024-03-18); SEC v. Rimar Capital (AI automated trading, 2024-10-11)",https://www.ic3.gov/PSA/2024/PSA241203; https://www.sec.gov/newsroom/press-releases/2024-36; https://www.sec.gov/newsroom/press-releases/2024-167; https://www.ic3.gov/AnnualReport/Reports/2025_IC3Report.pdf,https://vorplabs.com/ai-threat-monitoring#deepfake-celebrity-endorsement
fake-ai-tools-deceptive-services,Fake AI tools and deceptive AI services,"Operators sell AI-branded products that do not work as promised or generate deceptive content. Categories include an alleged “AI lawyer,” AI-branded money-making storefronts, AI fake-review generators, and AI telemarketing tools. Criminals also embed AI chatbots in fraudulent websites to automate victim engagement.",Operation AI Comply,FTC (2024-09-25): FTC Announces Crackdown on Deceptive AI Claims and Schemes; FBI (2024-12-03): Criminals Use Generative Artificial Intelligence to Facilitate Financial Fraud,https://www.ftc.gov/news-events/news/press-releases/2024/09/ftc-announces-crackdown-deceptive-ai-claims-schemes; https://www.ic3.gov/PSA/2024/PSA241203,"2024-09-25: FTC Operation AI Comply: actions against AI fake-review tool, alleged AI lawyer, and AI-branded money-making storefront schemes; 2026-03-24: FTC Air AI Technologies final order entered (case 2:25-cv-03068-SMB)",https://www.ftc.gov/news-events/news/press-releases/2024/09/ftc-announces-crackdown-deceptive-ai-claims-schemes; https://www.ftc.gov/system/files/ftc_gov/pdf/AirAi-Order_1.pdf,FTC v. DoNotPay (alleged AI lawyer); FTC v. Rytr (AI fake reviews); FTC v. Air AI (AI telemarketing); FTC v. Ascend Ecom / Empire Holdings (AI storefronts); FTC v. FBA Machine / Passive Scaling (AI storefronts),https://www.ftc.gov/news-events/news/press-releases/2024/09/ftc-announces-crackdown-deceptive-ai-claims-schemes; https://www.ftc.gov/system/files/ftc_gov/pdf/ai-accomplishments-1.17.25.pdf; https://search.ftc.gov/system/files/ftc_gov/pdf/AiraiComplaint.pdf; https://www.ftc.gov/system/files/ftc_gov/pdf/AirAi-Order_1.pdf,https://vorplabs.com/ai-threat-monitoring#fake-ai-tools-deceptive-services
ai-phishing-at-scale,AI-generated phishing and spear phishing at scale,"Generative AI lowers the cost of producing convincing targeted lures, social profiles, translations, spear-phishing content, and fake support flows. Attackers steal credentials, MFA codes, contact lists, or financial account access.",,FBI (2024-12-03): Criminals Use Generative Artificial Intelligence to Facilitate Financial Fraud; FBI/CISA (2026-03-20): Russian Intelligence Services Target Commercial Messaging Application Accounts; FBI (2024-04-11): Cyber Criminals Target Victims Using Social Engineering Techniques,https://www.ic3.gov/PSA/2024/PSA241203; https://www.ic3.gov/PSA/2026/PSA260320; https://www.ic3.gov/PSA/2024/PSA240411,"2025: IC3 2025: phishing/spoofing generated 191,561 complaints and $215,843,126 in losses (not all AI-enabled) — $215,843,126 (complaint-reported-aggregate)",https://www.ic3.gov/AnnualReport/Reports/2025_IC3Report.pdf,,https://www.ic3.gov/PSA/2024/PSA241203; https://www.ic3.gov/PSA/2026/PSA260320; https://www.ic3.gov/PSA/2024/PSA240411; https://www.ic3.gov/AnnualReport/Reports/2025_IC3Report.pdf,https://vorplabs.com/ai-threat-monitoring#ai-phishing-at-scale
ai-sextortion-deepfake-csam,"AI-generated sextortion, nonconsensual intimate deepfakes, and AI CSAM","Criminals generate or alter sexual imagery using AI, then extort victims or distribute the material. The FBI states that AI-generated CSAM is illegal under federal law. The Take It Down Act created new criminal penalties for publishing nonconsensual intimate digital forgeries.",,FBI (2024-03-29): Child Sexual Abuse Material Created by Generative AI and Similar Online Tools is Illegal; FBI (2024-12-03): Criminals Use Generative Artificial Intelligence to Facilitate Financial Fraud,https://www.ic3.gov/PSA/2024/PSA240329; https://www.ic3.gov/PSA/2024/PSA241203,"2025: IC3 2025: more than 75,000 sextortion submissions; more than 5,700 involving minors referred to NCMEC; 2026-04-07: DOJ S.D. Ohio: James Strahler II pleaded guilty to cyberstalking, producing obscene visual representations of child sexual abuse, and publication of digital forgeries using AI; 2026-05-20: DOJ E.D.N.Y.: Shannon and Hernandez arrested for publishing AI deepfake pornography in violation of the Take It Down Act",https://www.ic3.gov/AnnualReport/Reports/2025_IC3Report.pdf; https://www.justice.gov/usao-sdoh/pr/columbus-man-pleads-guilty-cyberstalking-exes-creating-ai-generated-obscene-material; https://www.justice.gov/usao-edny/pr/two-individuals-arrested-publishing-ai-deepfake-pornography-violation-take-it-down-act,,https://www.ic3.gov/PSA/2024/PSA240329; https://www.ic3.gov/PSA/2024/PSA241203; https://www.justice.gov/usao-sdoh/pr/columbus-man-pleads-guilty-cyberstalking-exes-creating-ai-generated-obscene-material; https://www.justice.gov/usao-edny/pr/two-individuals-arrested-publishing-ai-deepfake-pornography-violation-take-it-down-act; https://www.justice.gov/opa/pr/united-states-seizes-domain-names-publishing-nude-digital-forgeries-famous-women; https://www.ic3.gov/AnnualReport/Reports/2025_IC3Report.pdf,https://vorplabs.com/ai-threat-monitoring#ai-sextortion-deepfake-csam
ai-vishing-helpdesk-social-engineering,AI voice phishing and IT-helpdesk social engineering,"Attackers impersonate employees or support staff, call help desks, and request MFA resets, SIM swaps, call forwarding, or credential resets. FBI IC3 PSA I-120324 notes AI voice can make vishing more credible. CISA/FBI advisory AA23-320A documents related Scattered Spider social-engineering and intrusion tactics but does not specifically address AI voice.",Scattered Spider; vishing; helpdesk social engineering,FBI (2024-04-11): Cyber Criminals Target Victims Using Social Engineering Techniques; CISA/FBI (2023-11-16): Scattered Spider; FBI (2024-12-03): Criminals Use Generative Artificial Intelligence to Facilitate Financial Fraud,https://www.ic3.gov/PSA/2024/PSA240411; https://www.cisa.gov/sites/default/files/2023-11/aa23-320a_scattered_spider_0.pdf; https://www.ic3.gov/PSA/2024/PSA241203,,,,https://www.ic3.gov/PSA/2024/PSA240411; https://www.cisa.gov/sites/default/files/2023-11/aa23-320a_scattered_spider_0.pdf; https://www.ic3.gov/PSA/2024/PSA241203,https://vorplabs.com/ai-threat-monitoring#ai-vishing-helpdesk-social-engineering
ai-fake-reviews-deceptive-listings,AI-generated fake reviews and deceptive listings,"AI writing tools generate fabricated testimonials and reviews at high volume. AI images create fake photos for products, rentals, or listings. The FTC finalized a rule banning fake reviews and testimonials, including those generated by AI.",,FTC (2024-09-25): FTC Announces Crackdown on Deceptive AI Claims and Schemes; FBI (2024-12-03): Criminals Use Generative Artificial Intelligence to Facilitate Financial Fraud,https://www.ftc.gov/news-events/news/press-releases/2024/09/ftc-announces-crackdown-deceptive-ai-claims-schemes; https://www.ic3.gov/PSA/2024/PSA241203,,,FTC v. Rytr (AI fake-review enforcement); FTC v. SiteJabber (review manipulation),https://www.ftc.gov/news-events/news/press-releases/2024/09/ftc-announces-crackdown-deceptive-ai-claims-schemes; https://www.ftc.gov/system/files/ftc_gov/pdf/ai-accomplishments-1.17.25.pdf; https://www.ic3.gov/PSA/2024/PSA241203,https://vorplabs.com/ai-threat-monitoring#ai-fake-reviews-deceptive-listings
ai-government-official-impersonation,Impersonation of government officials via AI voice and text,"Malicious actors send texts and AI-generated voice messages purporting to be senior U.S. officials. They seek rapport, migration to encrypted messaging apps, credential theft, contact-list compromise, or funds.",,FBI (2025-05-15): Senior US Officials Impersonated in Malicious Messaging Campaign; FBI (2025-12-19): Senior U.S. Officials Continue to be Impersonated in Malicious Messaging Campaign,https://www.ic3.gov/PSA/2025/PSA250515; https://www.ic3.gov/PSA/2025/PSA251219,"2025: FTC 2025 data: government impersonators caused about $920 million in losses (not all AI-enabled) — $920,000,000 (complaint-reported-aggregate)",https://www.ftc.gov/news-events/news/press-releases/2026/06/ftc-data-show-people-reported-losing-3-point-5-billion-imposter-scams-2025,FCC v. Lingo Telecom (AI robocall settlement); FCC v. Steve Kramer (deepfake Biden robocalls),https://www.ic3.gov/PSA/2025/PSA250515; https://www.ic3.gov/PSA/2025/PSA251219; https://www.ftc.gov/news-events/news/press-releases/2026/06/ftc-data-show-people-reported-losing-3-point-5-billion-imposter-scams-2025,https://vorplabs.com/ai-threat-monitoring#ai-government-official-impersonation
