# AI Company Security Incident Ledger
# Version: 2026.07.10
# As of: 2026-07-10
# License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
# Citation: Vorp Labs, AI Company Security Incident Ledger (as of 2026-07-10), https://vorplabs.com/ai-threat-monitoring/security-incidents
# Source: https://vorplabs.com/ai-threat-monitoring/security-incidents
# Releases and checksums: https://vorplabs.com/datasets/ai-security-incidents/manifest.json
anchor,vendor,name,disclosed_date,disclosed_date_precision,incident_date,incident_date_precision,classification,scope_summary,records_affected,scope_precision,cves,summary,vendor_response,source_urls,url
openai-redis-2023,OpenAI,ChatGPT Redis cache bug,2023-03-24,day,2023-03-20,day,confirmed-breach,A Redis client library bug caused a small percentage of users to see another user's payment-related information and chat history titles. Approximately 1.2% of ChatGPT Plus subscribers who were active during a specific window were affected.,~1.2% of ChatGPT Plus subscribers,vendor-stated,,"OpenAI disclosed that a bug in the open-source Redis client library redis-py caused ChatGPT to show some users' chat titles and, for a smaller subset, payment-related information (first and last name, email, payment address, last four digits of a credit card, and expiration date) belonging to other active users during a nine-hour window on March 20, 2023.","OpenAI took ChatGPT offline, patched the Redis library, and published a detailed incident report. They notified affected users.",https://openai.com/index/march-20-chatgpt-outage/,https://vorplabs.com/ai-threat-monitoring/security-incidents#openai-redis-2023
lasso-hf-tokens-2023,HuggingFace (via Lasso Security research),API tokens exposed on GitHub,2023-12-04,day,,,researcher-disclosed-exposure,"Lasso Security researchers found 1,681 valid HuggingFace API tokens exposed in public GitHub repositories and HuggingFace Spaces. Tokens belonged to organizations including Meta, Google, Microsoft, and VMware. Some were write-access tokens that could have allowed model poisoning.","1,681 valid API tokens",researcher-estimated,,"Lasso Security published research documenting 1,681 valid HuggingFace API tokens found in public GitHub repositories and HuggingFace Spaces. The exposed tokens included write-access credentials belonging to employees at Meta, Google, Microsoft, and VMware, among others. Write-access tokens could have allowed an attacker to modify models hosted on the HuggingFace Hub.",HuggingFace acknowledged the findings and worked with Lasso Security to revoke exposed tokens.,https://www.lasso.security/blog/1500-huggingface-api-tokens-were-exposed-leaving-millions-of-meta-llama-bloom-and-pythia-users-for-supply-chain-attacks,https://vorplabs.com/ai-threat-monitoring/security-incidents#lasso-hf-tokens-2023
shadowray-2024,Anyscale (Ray framework),ShadowRay exploitation campaign,2024-03-26,day,,,exploitation-campaign,"Oligo Security documented active exploitation of CVE-2023-48022 across thousands of publicly exposed Ray servers used for AI workloads. Attackers accessed sensitive data including cloud credentials, models, and datasets, and hijacked compute for cryptocurrency mining; exploitation had been under way for roughly seven months before disclosure.",Thousands of exposed Ray servers,researcher-estimated,CVE-2023-48022,"Oligo Security published research showing that CVE-2023-48022, a disputed vulnerability in the Ray AI framework (Anyscale considered the lack of authentication to be by design rather than a vulnerability), was being actively exploited across thousands of publicly exposed Ray clusters. Attackers used the unauthenticated access to steal credentials, cloud tokens, and production data, and to deploy cryptocurrency miners.","Anyscale maintained that Ray is designed to run in trusted environments and that the lack of built-in authentication is documented behavior, not a vulnerability. They published guidance on securing Ray deployments.",https://www.oligo.security/blog/shadowray-attack-ai-workloads-actively-exploited-in-the-wild; https://nvd.nist.gov/vuln/detail/CVE-2023-48022,https://vorplabs.com/ai-threat-monitoring/security-incidents#shadowray-2024
replicate-cross-tenant-2024,Replicate,Cross-tenant model access vulnerability,2024-05-23,day,,,vulnerability-disclosure,"Wiz researchers demonstrated that a malicious model running on Replicate's platform could escape its container and access other customers' AI models, prompts, and training data through cross-tenant isolation flaws.",,not-quantified,,"Wiz Research disclosed a cross-tenant vulnerability in Replicate's AI-as-a-service platform. By running a specially crafted model, a researcher could escape the container sandbox and access other tenants' models, prompts, and training data. Replicate patched the vulnerability within days of responsible disclosure.","Replicate acknowledged the vulnerability, patched it within days, and published a security update.",https://www.wiz.io/blog/wiz-research-discovers-critical-vulnerability-in-replicate,https://vorplabs.com/ai-threat-monitoring/security-incidents#replicate-cross-tenant-2024
huggingface-spaces-2024,HuggingFace,Spaces secrets unauthorized access,2024-05-31,day,,,confirmed-breach,"HuggingFace detected unauthorized access to its Spaces platform, specifically related to Spaces secrets. A subset of secrets may have been accessed without authorization. HuggingFace revoked affected tokens, engaged forensic specialists, and reported to law enforcement and data protection authorities.",,not-quantified,,"HuggingFace disclosed that it detected unauthorized access to its Spaces platform involving Spaces secrets (API tokens and keys stored by users); a subset may have been accessed. The company revoked affected HuggingFace tokens, engaged external cybersecurity forensic specialists, implemented a key management service for Spaces secrets, and reported the incident to law enforcement and data protection authorities.","HuggingFace revoked compromised tokens, deprecated classic read/write tokens in favor of fine-grained access tokens, implemented KMS for Spaces secrets, and engaged external forensic specialists.",https://huggingface.co/blog/space-secrets-disclosure,https://vorplabs.com/ai-threat-monitoring/security-incidents#huggingface-spaces-2024
ollama-probllama-2024,Ollama,Probllama path traversal and remote code execution,2024-06-24,day,2024-05-05,day,vulnerability-disclosure,CVE-2024-37032 allowed path traversal leading to arbitrary file write and remote code execution on Ollama instances. The vulnerability was particularly severe in Docker installations where the server runs as root and listens on 0.0.0.0 by default.,,not-quantified,CVE-2024-37032,"Wiz Research disclosed CVE-2024-37032 (nicknamed Probllama), a path traversal vulnerability in Ollama that allowed arbitrary file write and remote code execution. The digest field in manifest files lacked proper validation, enabling an attacker to write files anywhere on the filesystem. In Docker installations, Ollama runs as root and listens on 0.0.0.0, making remote exploitation straightforward.","Ollama committed a fix approximately four hours after receiving the initial report on May 5, 2024, and released patched version 0.1.34 on May 8, 2024.",https://www.wiz.io/blog/probllama-ollama-vulnerability-cve-2024-37032; https://nvd.nist.gov/vuln/detail/CVE-2024-37032,https://vorplabs.com/ai-threat-monitoring/security-incidents#ollama-probllama-2024
rabbit-r1-keys-2024,Rabbit,R1 leaked internal code and SaaS API keys,2024-06-26,day,,,confirmed-breach,"Internal source code containing working SaaS API keys, leaked by an employee to a third-party group. Rabbit names the ElevenLabs key (access to bulk pseudo-anonymized text-to-speech data and global r1 voice settings) and the SendGrid key (customer-facing email sending), and states no customer data was exposed.",,vendor-stated,,"A Rabbit employee leaked internal source code containing working SaaS API keys to a third-party group, following earlier hardcoded-key findings published by the Rabbitude research collective. Rabbit's investigation names the ElevenLabs and SendGrid keys and reports the only observed abuse of the keys was sending defamatory emails.","Rabbit rotated and revoked the exposed secrets, migrated keys into AWS Secrets Manager, terminated the responsible employee, disabled ElevenLabs history logging, commissioned a third-party codebase audit, and added automated checks against committing secrets.",https://www.rabbit.tech/security-investigation-062524,https://vorplabs.com/ai-threat-monitoring/security-incidents#rabbit-r1-keys-2024
sap-ai-core-2024,SAP,SAPwned: AI Core cross-tenant vulnerabilities,2024-07-17,day,,,vulnerability-disclosure,"Wiz researchers found multiple vulnerabilities in SAP AI Core that allowed cross-tenant access to other customers' AI models, training data, and cloud credentials (AWS, Azure, SAP HANA). The vulnerabilities chained together to achieve full tenant isolation bypass.",,not-quantified,,"Wiz Research disclosed a set of vulnerabilities in SAP AI Core, collectively named SAPwned, that could have let an attacker escape their tenant and access other customers' data, AI models, and cloud credentials. The demonstrated chain reached Kubernetes cluster access, AWS tokens, Azure credentials, and SAP HANA database credentials belonging to other tenants. No evidence of exploitation in the wild was reported at disclosure.",SAP fixed all reported vulnerabilities. No evidence of exploitation in the wild was found at the time of disclosure.,https://www.wiz.io/blog/sapwned-sap-ai-vulnerabilities-ai-security,https://vorplabs.com/ai-threat-monitoring/security-incidents#sap-ai-core-2024
copilot-studio-ssrf-2024,Microsoft,Copilot Studio server-side request forgery,2024-08-20,day,2024-06-21,day,vulnerability-disclosure,"CVE-2024-38206 could let an attacker bypass SSRF protections in Microsoft Copilot Studio, access instance metadata and managed identity tokens, and reach internal resources including Cosmos DB instances.",,not-quantified,CVE-2024-38206,"Tenable disclosed CVE-2024-38206, a server-side request forgery vulnerability in Microsoft Copilot Studio (on the Power Platform). An attacker could circumvent SSRF protections to access instance metadata, managed identity tokens, and internal resources including Cosmos DB. Microsoft rated the vulnerability as critical severity.",Microsoft pushed fixes to all affected services and regions by late July 2024. No customer action was required. The CVE was published in August 2024.,https://www.tenable.com/security/research/tra-2024-32; https://nvd.nist.gov/vuln/detail/CVE-2024-38206,https://vorplabs.com/ai-threat-monitoring/security-incidents#copilot-studio-ssrf-2024
nvidia-container-toolkit-2024,NVIDIA,Container Toolkit container escape,2024-09-26,day,2024-09-01,day,vulnerability-disclosure,CVE-2024-0132 could let an attacker controlling a container image escape the container and gain full access to the underlying host system. All versions of NVIDIA Container Toolkit up to v1.16.1 and GPU Operator up to 24.6.1 were affected.,,not-quantified,CVE-2024-0132,"Wiz Research disclosed CVE-2024-0132, a critical container escape vulnerability in NVIDIA Container Toolkit and GPU Operator. An attacker with control over a container image could escape the container and gain full access to the underlying host system, including the host filesystem. The vulnerability exploited the fact that Unix sockets remain writable even when mounted with read-only permissions.","NVIDIA released patched versions (Container Toolkit v1.16.2 and GPU Operator v24.6.2) on September 26, 2024, the same day the vulnerability was publicly disclosed.",https://www.wiz.io/blog/wiz-research-critical-nvidia-ai-vulnerability; https://nvd.nist.gov/vuln/detail/CVE-2024-0132,https://vorplabs.com/ai-threat-monitoring/security-incidents#nvidia-container-toolkit-2024
