# E-Invoicing Mandate Phase Dataset
# Version: 2026.07.15
# As of: 2026-07-15
# License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
# Citation: Vorp Labs, E-Invoicing Mandate Tracker (data through 2026-07-15), https://vorplabs.com/e-invoicing-mandates
# Source: https://vorplabs.com/e-invoicing-mandates
# Releases and checksums: https://vorplabs.com/datasets/einvoicing-mandates/manifest.json
id,jurisdiction,jurisdiction_slug,phase_name,effective_date,covered_entities,mandate_type,scope,format_standard,network_model,status,delay_history,source_urls,notes,url
fr-2026-receive-all,France,france,"Receiving obligation, all businesses",2026-09-01,"All businesses established in France and subject to VAT, including franchise-en-base and non-liable businesses",e-invoicing,Domestic B2B,"UBL, CII, and hybrid (e.g. Factur-X)",Approved platforms (plateformes agréées); central directory,scheduled,Original 2024 launch postponed to 2026,https://www.impots.gouv.fr/professionnel/questions/partir-de-quand-suis-je-concerne-par-la-reforme-de-la-facturation; https://www.impots.gouv.fr/professionnel/je-decouvre-la-facturation-electronique; https://www.impots.gouv.fr/facturation-electronique-et-plateformes-agreees,Receiving applies when the supplier must or elects to issue through the reform.,https://vorplabs.com/e-invoicing-mandates/france#fr-2026-receive-all
fr-2026-issue-ge-eti,France,france,"Issuance and e-reporting, large and intermediate companies",2026-09-01,Grandes entreprises (GE) and entreprises de taille intermédiaire (ETI),both,Domestic B2B issuance; B2C and cross-border e-reporting,"UBL, CII, and hybrid (e.g. Factur-X)",Approved platforms (plateformes agréées),scheduled,Original 2024 launch postponed to 2026,https://www.impots.gouv.fr/professionnel/questions/partir-de-quand-suis-je-concerne-par-la-reforme-de-la-facturation; https://www.impots.gouv.fr/professionnel/je-decouvre-la-facturation-electronique; https://www.impots.gouv.fr/facturation-electronique-et-plateformes-agreees; https://www.legifrance.gouv.fr/loda/article_lc/LEGIARTI000053546686/2026-03-08,"Penalty for non-electronic issuance: 50 euros per invoice, capped at 15,000 euros per year (CGI Art. 1737 III).",https://vorplabs.com/e-invoicing-mandates/france#fr-2026-issue-ge-eti
fr-2027-issue-sme,France,france,"Issuance and e-reporting, SMEs and micro-enterprises",2027-09-01,PME and micro-enterprises; non-established taxable persons,both,Domestic B2B issuance; B2C and cross-border e-reporting,"UBL, CII, and hybrid (e.g. Factur-X)",Approved platforms (plateformes agréées),scheduled,Original 2024/2025 wave postponed to 2027,https://www.impots.gouv.fr/professionnel/questions/partir-de-quand-suis-je-concerne-par-la-reforme-de-la-facturation; https://www.impots.gouv.fr/professionnel/je-decouvre-la-facturation-electronique; https://www.impots.gouv.fr/facturation-electronique-et-plateformes-agreees,,https://vorplabs.com/e-invoicing-mandates/france#fr-2027-issue-sme
pl-2026-large,Poland,poland,"KSeF mandatory issuance, large taxpayers",2026-02-01,Taxpayers with 2024 gross sales (including VAT) above PLN 200 million,e-invoicing,Domestic B2B (clearance),FA(3) XML,Centralized clearance (KSeF),live,Postponed multiple times from the original 2024 date,https://ksef.podatki.gov.pl/wyjasnienia/bezpieczenstwo-i-dezinformacja-w-obszarze-ksef/; https://ksef.podatki.gov.pl/informacje-ogolne-ksef-20/numer-ksef-i-zbiorczy-identyfikator/,KSeF invoice numbers required in JPK_V7M(3)/JPK_V7K(3) from the same date.,https://vorplabs.com/e-invoicing-mandates/poland#pl-2026-large
pl-2026-general,Poland,poland,"KSeF mandatory issuance, general wave",2026-04-01,"Remaining taxpayers, except those under the PLN 10,000 monthly invoice-value deferral",e-invoicing,Domestic B2B (clearance),FA(3) XML,Centralized clearance (KSeF),live,Postponed multiple times from the original 2024 date,https://ksef.podatki.gov.pl/wyjasnienia/bezpieczenstwo-i-dezinformacja-w-obszarze-ksef/; https://ksef.podatki.gov.pl/ngo-organizacje-pozarzadowe/; https://ksef.podatki.gov.pl/informacje-ogolne-ksef-20/numer-ksef-i-zbiorczy-identyfikator/,"The deferral is a recurring monthly test on gross sales documented by in-scope invoices, not a company-size category.",https://vorplabs.com/e-invoicing-mandates/poland#pl-2026-general
pl-2027-monthly-deferral,Poland,poland,KSeF mandatory issuance after the monthly-value deferral,2027-01-01,"Taxpayers that stayed under the PLN 10,000 monthly in-scope invoice-value line through 2026",e-invoicing,Domestic B2B (clearance),FA(3) XML,Centralized clearance (KSeF),scheduled,,https://ksef.podatki.gov.pl/ngo-organizacje-pozarzadowe/; https://ksef.podatki.gov.pl/informacje-ogolne-ksef-20/numer-ksef-i-zbiorczy-identyfikator/,,https://vorplabs.com/e-invoicing-mandates/poland#pl-2027-monthly-deferral
ae-2026-pilot,United Arab Emirates,uae,Pilot and voluntary implementation,2026-07-01,"Taxpayer Working Group members (pilot); any person voluntarily, subject to technical requirements",e-invoicing,B2B and B2G,PINT AE (XML),Peppol-based decentralized five-corner model,live,,https://mof.gov.ae/wp-content/uploads/2025/09/Ministerial-Decision-No.-244-of-2025-on-the-Implementation-of-the-Electronic-Invoicing-System.pdf; https://mof.gov.ae/wp-content/uploads/2026/06/UAE-Electronic-Invoicing-Guidelines_V-1.1-01June2026.pdf,"Ministerial Decision 244/2025, Articles 3 and 4.",https://vorplabs.com/e-invoicing-mandates/uae#ae-2026-pilot
ae-2026-asp-deadline,United Arab Emirates,uae,"Accredited Service Provider appointment deadline, large businesses",2026-10-30,Businesses with revenue at or above AED 50 million,e-invoicing,B2B and B2G,PINT AE (XML),Peppol-based decentralized five-corner model,scheduled,"Extended from July 31, 2026 by Ministerial Decision 66/2026",https://mof.gov.ae/wp-content/uploads/2026/05/Ministerial-Resolution-No.-66-of-2026-Amending-Certain-Provisions-of-Ministerial-Resolution-No.-244-of-2025-Regarding-the-Implementation-of-the-Electronic-Invoicing-System-En-20260514.pdf; https://mof.gov.ae/wp-content/uploads/2025/09/Ministerial-Decision-No.-244-of-2025-on-the-Implementation-of-the-Electronic-Invoicing-System.pdf; https://mof.gov.ae/wp-content/uploads/2026/06/UAE-Electronic-Invoicing-Guidelines_V-1.1-01June2026.pdf,,https://vorplabs.com/e-invoicing-mandates/uae#ae-2026-asp-deadline
ae-2027-large,United Arab Emirates,uae,"Mandatory implementation, revenue at or above AED 50 million",2027-01-01,In-scope persons with revenue at or above AED 50 million,e-invoicing,B2B and B2G; B2C excluded pending a later decision,PINT AE (XML),Peppol-based decentralized five-corner model,scheduled,,https://mof.gov.ae/wp-content/uploads/2025/09/Ministerial-Decision-No.-244-of-2025-on-the-Implementation-of-the-Electronic-Invoicing-System.pdf; https://mof.gov.ae/wp-content/uploads/2026/06/UAE-Electronic-Invoicing-Guidelines_V-1.1-01June2026.pdf,,https://vorplabs.com/e-invoicing-mandates/uae#ae-2027-large
ae-2027-asp-deadline-below-threshold,United Arab Emirates,uae,"Accredited Service Provider appointment deadline, revenue below AED 50 million",2027-03-31,Businesses with revenue below AED 50 million,e-invoicing,B2B and B2G,PINT AE (XML),Peppol-based decentralized five-corner model,scheduled,,https://mof.gov.ae/wp-content/uploads/2025/09/Ministerial-Decision-No.-244-of-2025-on-the-Implementation-of-the-Electronic-Invoicing-System.pdf; https://mof.gov.ae/wp-content/uploads/2026/06/UAE-Electronic-Invoicing-Guidelines_V-1.1-01June2026.pdf,,https://vorplabs.com/e-invoicing-mandates/uae#ae-2027-asp-deadline-below-threshold
ae-2027-below-threshold,United Arab Emirates,uae,"Mandatory implementation, revenue below AED 50 million",2027-07-01,In-scope persons with revenue below AED 50 million,e-invoicing,B2B and B2G; B2C excluded pending a later decision,PINT AE (XML),Peppol-based decentralized five-corner model,scheduled,,https://mof.gov.ae/wp-content/uploads/2025/09/Ministerial-Decision-No.-244-of-2025-on-the-Implementation-of-the-Electronic-Invoicing-System.pdf; https://mof.gov.ae/wp-content/uploads/2026/06/UAE-Electronic-Invoicing-Guidelines_V-1.1-01June2026.pdf,"A revenue wave, not a separately defined small-business category.",https://vorplabs.com/e-invoicing-mandates/uae#ae-2027-below-threshold
ae-2027-government,United Arab Emirates,uae,Government entities implementation,2027-10-01,Government entities,e-invoicing,B2G,PINT AE (XML),Peppol-based decentralized five-corner model,scheduled,,https://mof.gov.ae/wp-content/uploads/2025/09/Ministerial-Decision-No.-244-of-2025-on-the-Implementation-of-the-Electronic-Invoicing-System.pdf; https://mof.gov.ae/wp-content/uploads/2026/06/UAE-Electronic-Invoicing-Guidelines_V-1.1-01June2026.pdf,,https://vorplabs.com/e-invoicing-mandates/uae#ae-2027-government
eu-2025-vida-in-force,European Union,eu,ViDA directive in force,2025-04-14,EU member states (national transposition required),framework,EU legal framework,European standard (EN 16931 family),Member-state systems,live,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=OJ%3AL_202500516,Amended Article 218 permits domestic mandates without a prior Council derogation; amended Article 232 removes recipient acceptance for standard-compliant e-invoices.,https://vorplabs.com/e-invoicing-mandates#eu-2025-vida-in-force
eu-2030-intra-eu,European Union,eu,Intra-EU structured e-invoicing and digital reporting,2030-07-01,Suppliers and buyers in covered intra-EU B2B transactions,both,Cross-border intra-EU B2B,European standard (EN 16931 family),Member-state systems reporting into EU-level exchange,scheduled,Moved from the initially proposed 2028 start,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=OJ%3AL_202500516,,https://vorplabs.com/e-invoicing-mandates#eu-2030-intra-eu
eu-2035-convergence,European Union,eu,Convergence deadline for pre-existing domestic systems,2035-01-01,"Member states whose qualifying domestic reporting systems predate the January 1, 2024 cut-off",framework,Domestic real-time reporting systems,European standard (EN 16931 family),Member-state systems,scheduled,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=OJ%3AL_202500516,,https://vorplabs.com/e-invoicing-mandates#eu-2035-convergence
