# AI Agent Liability, Insurance, and Attestation Tracker
# Version: 2026.07.21
# As of: 2026-07-21
# License: CC BY 4.0, https://creativecommons.org/licenses/by/4.0/
# Citation: Vorp Labs, AI Agent Liability, Insurance, and Attestation Tracker (as of 2026-07-21), https://vorplabs.com/ai-agent-liability
# Source: https://vorplabs.com/ai-agent-liability
# Releases and checksums: https://vorplabs.com/datasets/ai-agent-liability/manifest.json
anchor,entry_name,actor,category,agent_scope,summary,event_date,event_date_label,status,source_url,source_title,source_type,source_claim_scope,verification,notes,url
aiuc-1-standard,AIUC-1 standard launch,"AIUC (Caliber Labs, PBC)",standard,agent-specific,"Agent-specific security, safety, and reliability standard covering data and privacy, security, safety, reliability, accountability, and societal risk. The launch announcement says certification requires 50-plus technical, operational, and legal safeguards plus third-party technical testing.",2025-07-17,,current-standard,https://aiuc.com/research/introducing-aiuc-1,AIUC: Introducing AIUC-1,official-standard,normative-requirement,verified,,https://vorplabs.com/ai-agent-liability#aiuc-1-standard
aiuc-1-certification,AIUC-1 certification process,AIUC,certification,agent-specific,"Certification comprises scoping, evidence collection, technical evaluations, remediation, report sign-off, and certificate issuance. Certificates last 12 months; in-scope agents require quarterly red-teaming to maintain them. AIUC's own pages currently state both four-to-eight and five-to-ten week timelines, an official-source inconsistency this tracker preserves rather than normalizes.",,,active-certification,https://www.aiuc-1.com/aiuc-1-certification,AIUC-1 certification page,official-standard,normative-requirement,verified,,https://vorplabs.com/ai-agent-liability#aiuc-1-certification
aiuc-1-e015,AIUC-1 E015 agent activity logging,AIUC,standard,agent-specific,"Requires logs of AI processes, actions, and outputs to support incident investigation, audit, and behavior explanation. Expected agent evidence includes provenance metadata, tool-call parameters and results, sub-agent delegations and outcomes, human approval events, and reasoning traces where available, plus retention rules, access controls, PII sanitation, and optional tamper-evidence such as WORM storage and hash chains.",,,current-control,https://www.aiuc-1.com/accountability/log-model-activity,AIUC-1 control E015: log model activity,official-standard,normative-requirement,verified,,https://vorplabs.com/ai-agent-liability#aiuc-1-e015
aiuc-1-oversight,AIUC-1 C007 and C009 human oversight controls,AIUC,standard,agent-specific,"C007 defines high-risk output review workflows with detection thresholds, reviewer assignments, escalation paths, and documented decisions; C009 defines real-time user stop, pause, redirect, feedback, and issue-reporting mechanisms. Both controls are marked optional in the standard.",,,current-control,https://www.aiuc-1.com/safety/flag-high-risk-recommendations,AIUC-1 control C007: flag high-risk recommendations,official-standard,normative-requirement,verified,"Optional controls in the standard, not baseline requirements.",https://vorplabs.com/ai-agent-liability#aiuc-1-oversight
aiuc-1-boundaries,AIUC-1 B006 and D003 agent and tool boundaries,AIUC,standard,agent-specific,"B006 requires safeguards preventing agents from acting beyond authorized scope, with service and MCP-server allowlists, gateway restrictions, and boundary-violation logs. D003 requires tool authorization and validation with parameter checks, rate limits, transaction caps, circuit breakers, tool-call logs, and optional human approval for sensitive operations.",,,current-control,https://www.aiuc-1.com/reliability/restrict-unsafe-tool-calls,AIUC-1 control D003: restrict unsafe tool calls,official-standard,normative-requirement,verified,,https://vorplabs.com/ai-agent-liability#aiuc-1-boundaries
aiuc-1-d004,AIUC-1 D004 quarterly tool testing,AIUC,standard,agent-specific,"Requires independent testing of tool calls at least every three months, with the tested risk taxonomy, methodology, findings, remediation actions, and remediation timelines documented in the report.",,,current-control,https://www.aiuc-1.com/reliability/3rd-party-testing-of-tool-calls,AIUC-1 control D004: third-party testing of tool calls,official-standard,normative-requirement,verified,,https://vorplabs.com/ai-agent-liability#aiuc-1-d004
aiuc-1-incident,AIUC-1 incident and accountability controls,AIUC,standard,agent-specific,"Separate failure plans are required for security or privacy breaches, harmful outputs, and hallucinations causing customer financial loss, with owners, notification and remediation paths, preserved logs for legal review, and potential insurer activation. E004 requires accountable approval of material system changes; E008 and E009 cover internal review trails and third-party access monitoring.",,,current-control,https://www.aiuc-1.com/accountability/ai-failure-plan-for-security-breaches,AIUC-1 accountability controls: AI failure plans,official-standard,normative-requirement,verified,,https://vorplabs.com/ai-agent-liability#aiuc-1-incident
aiuc-1-q2-2026,AIUC-1 Q2 2026 quarterly update,AIUC,standard,agent-specific,"AIUC's homepage describes a quarterly standard update focused on MCP security, third-party risk, and agent identity and permissions. The standard changes quarterly, so control citations in this tracker are re-diffed on that cadence.",2026-04-01,Q2 2026,current-standard-update,https://www.aiuc-1.com/,AIUC-1 homepage: quarterly update,official-standard,normative-requirement,verified,Event date approximated to the quarter start; AIUC labels it Q2 2026.,https://vorplabs.com/ai-agent-liability#aiuc-1-q2-2026
aiuc-agent-insurance,AIUC AI agent insurance,AIUC,insurance-product,agent-specific,"Markets insurance for AI agents covering AI-specific losses up to $50 million, listing hallucinations, brand risk, data leakage, IP infringement, and tool-call failures such as incorrect refunds or purchase decisions. The launch announcement says cost and availability are tied directly to audit results. Policy forms, exclusions, carrier identity, and territorial details are not publicly disclosed.",2025-07-23,,contact-sales,https://aiuc.com/product,AIUC product page,official-product-page,company-self-description,verified,,https://vorplabs.com/ai-agent-liability#aiuc-agent-insurance
elevenlabs-policy,ElevenLabs AIUC-1-backed voice-agent policy,ElevenLabs and AIUC,insurance-product,agent-specific,"ElevenLabs announced it is the first company to go live with an AIUC-1-backed policy covering AI voice agents and their actions, naming incorrect information supplied to a customer as an insurable risk, after 5,835 tests across 14 risk categories. The carrier, policy limit, premium, exclusions, and claims trigger were not disclosed.",2026-02-12,,announced-live-by-company,https://elevenlabs.io/blog/aiuc-announcement,ElevenLabs announcement: AIUC-1-backed policy,official-company-announcement,company-self-description,verified,,https://vorplabs.com/ai-agent-liability#elevenlabs-policy
